M,n_windows,share_rv_from_padded_subbars,n_windows_with_empty_subbar,mean_empty_subbars,var_log_rv_as_is,var_log_rv_excluding_padded,delta,n_dropped_zero_rv
5,1953,0.0,3,0.0015360983102918587,2.023316946343081,2.023316946343081,0.0,0
6,1953,0.0,52,0.027649769585253458,2.050281074184577,2.050281074184577,0.0,0
10,1953,0.0,53,0.030209933435739886,1.708196859425972,1.708196859425972,0.0,0
12,1953,0.0,54,0.05683563748079877,1.6972763586777508,1.6972763586777508,0.0,0
23,1953,0.0,54,0.11264720942140297,1.5134912872944053,1.5134912872944053,0.0,0
46,1953,0.0,56,0.22939068100358423,1.420051359269385,1.420051359269385,0.0,0
138,1953,0.0008300451612580958,1355,1.3676395289298515,1.3123452370132864,1.3120275553557843,-0.0003176816575021224,0
345,1953,2.6068983239086055e-05,1356,3.8970814132104454,1.2207286028355093,1.2209479156054655,0.00021931276995612592,0
1379,1953,0.006535629331061816,1474,24.683563748079877,1.0427598409404542,1.0433394766544606,0.0005796357140064323,0
