cell,root,geom,btag,horizon,model,n_eval,n_nonpositive,n_below_1e12,n_below_1e6,n_above_100x_mean_rv,min_forecast,p001_forecast,max_forecast,in_sample_mean_rv,worst1_share_of_qlike,worst5_share_of_qlike
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,M5_RGARCH,1403,3,16,22,1381,0.0,0.0,4.2217311579415923e+301,3.876189828871031e-06,,
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,M6_PARK,1403,21,21,594,0,0.0,0.0,6.762898448127979e-05,3.876189828871031e-06,,
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,M6_GK,1403,0,21,613,0,1e-300,1e-300,5.079756463305778e-05,3.876189828871031e-06,,
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M1_EWMA,79538,0,0,39283,0,3.2663113194072135e-08,5.415573425254658e-08,0.00019104928286534388,2.772164777788564e-06,,
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M2_HAR,79538,0,0,33947,6,1.78120744061453e-07,2.3404059069072124e-07,0.000536186653398452,2.772164777788564e-06,,
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M3_HARJ,79538,0,0,34016,6,1.2842884590340425e-07,2.0513012646380395e-07,0.000552089675431812,2.772164777788564e-06,inf,inf
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M4_HARQ,79538,0,4,37848,3,1e-300,1.202064059019608e-07,0.00039609246996529684,2.772164777788564e-06,inf,inf
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M5_RGARCH,79538,69119,75098,75187,4314,0.0,0.0,1.4635404550060944e+308,2.772164777788564e-06,,
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M6_PARK,79538,401,401,55413,15,0.0,0.0,0.0013799667101089864,2.772164777788564e-06,,
ES/GLOBEX/B1/30min,ES,GLOBEX,B1,30min,M6_GK,79538,0,401,56503,8,1e-300,1e-300,0.0011127175919094239,2.772164777788564e-06,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M1_EWMA,1448,0,0,0,0,3.676842636695511e-05,3.724624202604857e-05,0.0016707589866713198,0.00022296964375238823,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M2_HAR,1448,0,0,0,0,2.9415875652855986e-05,3.154739239473263e-05,0.0058112251505252665,0.00022296964375238823,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M3_HARJ,1448,0,0,0,0,2.9142676227702167e-05,2.9948518106351914e-05,0.005886202725786365,0.00022296964375238823,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M4_HARQ,1448,0,1,1,0,1e-300,2.3833631558969734e-05,0.006019689036353533,0.00022296964375238823,1.0,1.0
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M5_RGARCH,1448,0,0,0,0,7.793911858148075e-06,8.255636194926189e-06,0.0017209109586038631,0.00022296964375238823,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M6_PARK,1448,0,0,0,0,1.5675270223282126e-06,2.985275834160915e-06,0.005813712299676038,0.00022296964375238823,,
NQ/GLOBEX/B0/1day,NQ,GLOBEX,B0,1day,M6_GK,1448,0,0,0,0,2.1721400556695944e-06,3.2950477845031536e-06,0.004656762180771299,0.00022296964375238823,,
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M1_EWMA,22259,0,0,3550,0,1.461789766251393e-07,2.324860993741985e-07,0.0002639925861104884,6.751932748481297e-06,,
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M2_HAR,22259,0,0,2918,1,4.3842055282596064e-07,4.773876561405464e-07,0.0006827158465183107,6.751932748481297e-06,,
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M3_HARJ,22259,0,0,3379,3,3.030339726061321e-07,3.6621318002434853e-07,0.0007163555903191995,6.751932748481297e-06,inf,inf
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M4_HARQ,22259,0,2,4406,0,1e-300,3.726622423764007e-07,0.0005325967578296871,6.751932748481297e-06,inf,inf
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M5_RGARCH,22259,166,166,166,22093,0.0,0.0,1.0331422415082815e+298,6.751932748481297e-06,,
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M6_PARK,22259,166,166,11318,5,0.0,0.0,0.001486056044020087,6.751932748481297e-06,,
NQ/GLOBEX/B0/1h,NQ,GLOBEX,B0,1h,M6_GK,22259,0,166,11407,4,1e-300,1e-300,0.0011825873065219022,6.751932748481297e-06,,
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M1_EWMA,80900,0,0,24024,0,5.5217953311797004e-08,9.319801780545227e-08,0.00019729051428873226,4.160982518905504e-06,,
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M2_HAR,80900,0,0,21079,4,2.4868082759440173e-07,2.866258037180788e-07,0.0006629615667483975,4.160982518905504e-06,,
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M3_HARJ,80900,0,0,21370,5,2.305203387559077e-07,2.671329179194671e-07,0.000638260602262413,4.160982518905504e-06,inf,inf
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M4_HARQ,80900,0,4,25741,1,1e-300,1.6161888467895082e-07,0.00044387876209654097,4.160982518905504e-06,inf,inf
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M5_RGARCH,80900,0,382,382,80518,1.917293900673284e-219,1.3187555568277143e-174,1.2456748491986538e+122,4.160982518905504e-06,,
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M6_PARK,80900,382,382,47883,4,0.0,0.0,0.001486056044020087,4.160982518905504e-06,,
NQ/GLOBEX/B0/30min,NQ,GLOBEX,B0,30min,M6_GK,80900,0,382,49198,5,1e-300,1e-300,0.0012714834831634612,4.160982518905504e-06,,
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M1_EWMA,1448,0,0,0,0,3.317047941977698e-05,3.477674019744828e-05,0.0015836378770600836,0.00021727132394712927,,
