root,geom,btag,M,variant,median,ref_2overM,med_over_ref,trigamma,median_over_trigamma,p95,share_gt10x_med
ES,GLOBEX,B0,23,RQ_RV,0.1164245129628312,0.0869565217391304,1.3388818990725595,0.09084666127454626,1.2815497160758227,0.2636889516364084,0.0
ES,GLOBEX,B0,23,TQ_BV,0.0944035735009684,0.0869565217391304,1.0856410952611368,0.09084666127454626,1.0391529218192495,0.179414916244932,0.0
ES,GLOBEX,B0,23,TRQ3_TRV3,0.0987053638966217,0.0869565217391304,1.1351116848111498,0.09084666127454626,1.0865051341658643,0.1609508851545113,0.0
ES,GLOBEX,B0,23,TRQ5_TRV5,0.1145041631826672,0.0869565217391304,1.3167978766006732,0.09084666127454626,1.2604113522303917,0.2379998087186829,0.0
ES,GLOBEX,B0,23,TRQ10_TRV10,0.1164245129628312,0.0869565217391304,1.3388818990725595,0.09084666127454626,1.2815497160758227,0.2636889516364084,0.0
ES,GLOBEX,B0,23,MEDRQ_MEDRV,0.0991544242202842,0.0869565217391304,1.1402758785332687,0.09084666127454626,1.0914481922525605,0.2039406499210612,0.0
ES,GLOBEX,B0,46,RQ_RV,0.0692713450191459,0.0434782608695652,1.5932409354403565,0.044437133536578646,1.5588616885498443,0.1655776878487749,0.0
ES,GLOBEX,B0,46,TQ_BV,0.0581375054896068,0.0434782608695652,1.3371626262609584,0.044437133536578646,1.3083090843776102,0.1238941386422125,0.0
ES,GLOBEX,B0,46,TRQ3_TRV3,0.0537796996707167,0.0434782608695652,1.2369330924264843,0.044437133536578646,1.2102423219186196,0.0836104608700525,0.0
ES,GLOBEX,B0,46,TRQ5_TRV5,0.0671717396710884,0.0434782608695652,1.5449500124350333,0.044437133536578646,1.5116127959917949,0.1259003652011215,0.0
ES,GLOBEX,B0,46,TRQ10_TRV10,0.0692713450191459,0.0434782608695652,1.5932409354403565,0.044437133536578646,1.5588616885498443,0.1650144250890634,0.0
ES,GLOBEX,B0,46,MEDRQ_MEDRV,0.0601144664848552,0.0434782608695652,1.382632729151671,0.044437133536578646,1.3527980249979825,0.1302143123311014,0.0
ES,GLOBEX,B0,138,RQ_RV,0.0290300092467502,0.0144927536231884,2.003070638025764,0.014598280898442317,1.98859094770863,0.0746543230932195,0.0005120327700972
ES,GLOBEX,B0,138,TQ_BV,0.0246531275830455,0.0144927536231884,1.701065803230142,0.014598280898442317,1.6887692293738552,0.0531296817947008,0.0
ES,GLOBEX,B0,138,TRQ3_TRV3,0.0191394495605577,0.0144927536231884,1.320622019678488,0.014598280898442317,1.311075577577079,0.0271210458302119,0.0
ES,GLOBEX,B0,138,TRQ5_TRV5,0.0261640399354086,0.0144927536231884,1.8053187555431975,0.014598280898442317,1.792268563499171,0.0420411862975638,0.0
ES,GLOBEX,B0,138,TRQ10_TRV10,0.0290237700188314,0.0144927536231884,2.002640131299369,0.014598280898442317,1.988163553006322,0.0727422925462908,0.0
ES,GLOBEX,B0,138,MEDRQ_MEDRV,0.0254845376708585,0.0144927536231884,1.758433099289242,0.014598280898442317,1.7457218317793692,0.0613141665351907,0.0
ES,GLOBEX,B0,345,RQ_RV,0.0135036559392606,0.0057971014492753,2.3293806495224683,0.005813937111601127,2.322635363962815,0.0400929991030263,0.0066564260112647
ES,GLOBEX,B0,345,TQ_BV,0.0114736303538333,0.0057971014492753,1.9792012360362528,0.005813937111601127,1.9734699797386568,0.0254707121372766,0.0
ES,GLOBEX,B0,345,TRQ3_TRV3,0.0078156053842715,0.0057971014492753,1.3481919287868498,0.005813937111601127,1.3442879126910825,0.0108691351466355,0.0
ES,GLOBEX,B0,345,TRQ5_TRV5,0.0111479297481058,0.0057971014492753,1.9230178815482584,0.005813937111601127,1.9174493177542682,0.0161077753542559,0.0
ES,GLOBEX,B0,345,TRQ10_TRV10,0.0134350124967834,0.0057971014492753,2.3175396556951458,0.005813937111601127,2.3108286585995548,0.0319631811841616,0.0
ES,GLOBEX,B0,345,MEDRQ_MEDRV,0.0117994333503907,0.0057971014492753,2.0354022529424127,0.005813937111601127,2.029508252995396,0.0272401952477688,0.0
ES,GLOBEX,B0,1380,RQ_RV,0.003800490517975,0.0014492753623188,2.6223384574027535,0.0014503260691993117,2.620438671472791,0.0149960774878043,0.014336917562724
ES,GLOBEX,B0,1380,TQ_BV,0.0033425493383339,0.0014492753623188,2.306359043450398,0.0014503260691993117,2.3046881727632718,0.0085214684455576,0.0025601638504864
ES,GLOBEX,B0,1380,TRQ3_TRV3,0.0019097583234403,0.0014492753623188,1.317733243173835,0.0014503260691993117,1.3167785948263546,0.0025277617785774,0.0
ES,GLOBEX,B0,1380,TRQ5_TRV5,0.0027116960694212,0.0014492753623188,1.8710702879006615,0.0014503260691993117,1.8697147676027495,0.0037395282179868,0.0
ES,GLOBEX,B0,1380,TRQ10_TRV10,0.0036970878313162,0.0014492753623188,2.550990603608229,0.0014503260691993117,2.5491425065242526,0.0067314976240352,0.0
ES,GLOBEX,B0,1380,MEDRQ_MEDRV,0.0032210159036894,0.0014492753623188,2.2225009735457086,0.0014503260691993117,2.220890854887302,0.0079455158749072,0.003584229390681
ES,GLOBEX,B1,23,RQ_RV,0.1152521899045084,0.0869565217391304,1.3254001839018477,0.09084666127454626,1.2686453006369336,0.2639660464115804,0.0
ES,GLOBEX,B1,23,TQ_BV,0.0933878361695655,0.0869565217391304,1.0739601159500034,0.09084666127454626,1.027972133035683,0.1788500571627564,0.0
ES,GLOBEX,B1,23,TRQ3_TRV3,0.0987870055339984,0.0869565217391304,1.1360505636409823,0.09084666127454626,1.0874038093205842,0.1617863550495661,0.0
ES,GLOBEX,B1,23,TRQ5_TRV5,0.1138994288214574,0.0869565217391304,1.3098434314467602,0.09084666127454626,1.2537547029630922,0.2344047122841875,0.0
ES,GLOBEX,B1,23,TRQ10_TRV10,0.1152521899045084,0.0869565217391304,1.3254001839018477,0.09084666127454626,1.2686453006369336,0.2639660464115804,0.0
ES,GLOBEX,B1,23,MEDRQ_MEDRV,0.0979983016399956,0.0869565217391304,1.12698046885995,0.09084666127454626,1.078722104534326,0.2031390686889228,0.0
ES,GLOBEX,B1,46,RQ_RV,0.0688442398073672,0.0434782608695652,1.583417515569446,0.044437133536578646,1.5492502402455308,0.1687052695202054,0.0
ES,GLOBEX,B1,46,TQ_BV,0.0576086578772788,0.0434782608695652,1.324999131177413,0.044437133536578646,1.2964080554353927,0.1217846458409612,0.0
ES,GLOBEX,B1,46,TRQ3_TRV3,0.0537909248114471,0.0434782608695652,1.2371912706632833,0.044437133536578646,1.210494929137786,0.0843411866156591,0.0
ES,GLOBEX,B1,46,TRQ5_TRV5,0.0667038661617195,0.0434782608695652,1.5341889217195503,0.044437133536578646,1.5010839100774105,0.1260479712858617,0.0
