root,geom,btag,horizon,estimator,elasticity_raw,r2_raw,elasticity_noise_corrected,r2_corrected,shift,mean_delta,mean_var_log,delta_share_of_var
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,-0.28908530220770856,0.8874017024051507,-0.319923898034595,0.9363280422434328,-0.030838595826886417,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,-0.2740783270776374,0.9120224334796067,-0.3018888071246501,0.950609164233648,-0.027810480047012698,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E1_d_model_L1-5,-0.9246842563636127,0.9931744357526123,-0.9681857405193868,0.9801189733054809,-0.04350148415577404,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E1_d_model_L1-10,-1.1344936014385867,0.9777914716031118,-1.1351235638980126,0.9777689659585032,-0.0006299624594259257,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E2,-0.22148537119236822,0.7627450933631061,-0.24795619772479716,0.8470706584805889,-0.026470826532428937,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E4,-0.6265040342520823,0.9941325048384569,-0.6635071741164823,0.9772294463316186,-0.03700313986439996,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B0,1day,E4_asS05,-0.16912029393429046,0.030539557968696673,-0.013435922137846652,0.00010746399891681246,0.15568437179644382,0.0038090402398706555,1.5542719517760468,0.0035253523342064527
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,-0.28765518376388455,0.8958515658842612,-0.3196140758165178,0.9444621040916046,-0.03195889205263325,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,-0.2736803912401553,0.9110019753138356,-0.3024503930658668,0.9507123367917205,-0.02877000182571149,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E1_d_model_L1-5,-0.9254676600928108,0.9904424520720418,-0.9535427026213967,0.9720892921497619,-0.028075042528585947,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E1_d_model_L1-10,-1.1347918609389083,0.9765371510453768,-1.1354389746572873,0.9765214554968107,-0.0006471137183789999,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E2,-0.22252506608328093,0.7622664744673289,-0.24970423818821016,0.8479545206739659,-0.027179172104929233,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E4,-0.6267003425525822,0.9945764229979941,-0.6680886934098247,0.9778683101185234,-0.04138835085724246,0.003949048458152836,1.564897645064579,0.0036406584620067967
ES,GLOBEX,B1,1day,E4_asS05,-0.46252792803917303,0.25400702990730706,-0.4512817726759621,0.14064111290727044,0.011246155363210941,0.003949048458152836,1.564897645064579,0.0036406584620067967
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,-0.3239542593861698,0.8961878880403392,-0.3302842760412321,0.9067235523866737,-0.006330016655062332,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,-0.2886589111378938,0.8861281034521431,-0.29402120535775506,0.8966805963605529,-0.00536229421986123,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,-0.6853644320299721,0.9810893515755473,-0.7554923421419764,0.9856365155723872,-0.07012791011200425,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,-1.2121399044222914,0.9657821670806578,-1.2123791502713823,0.9657783754961642,-0.00023924584909096325,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E2,-0.3215679901602372,0.876383044957835,-0.3284330259348046,0.8898422819010356,-0.0068650357745674295,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E4,-0.6027910603165793,0.9880388455432076,-0.8647087422135387,0.8810964776459729,-0.2619176818969594,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B0,1day,E4_asS05,-0.7877058779324109,0.9800499481191617,-0.7432980253699717,0.9677954827413219,0.044407852562439176,0.0009010150419858777,1.4427230840802552,0.0008305301901075578
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,-0.3197893848762055,0.8973433634495999,-0.32642319685201626,0.9083649478636926,-0.006633811975810755,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,-0.28646345966409315,0.8972610050792773,-0.29207764819401005,0.9079706312007092,-0.005614188529916908,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,-0.7074335560327747,0.9699012096864835,-0.7866142779296353,0.9827335391736017,-0.07918072189686065,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,-1.2562738127947257,0.961780125605437,-1.2565525779864015,0.9617709583572029,-0.0002787651916758005,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E2,-0.29196617226943805,0.8830173478137804,-0.2990298204579887,0.8974989207543453,-0.007063648188550653,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E4,-0.6045256796194861,0.9898875448379976,-0.9398864673028589,0.8519104614793923,-0.33536078768337274,0.0009431654785426631,1.4504272715711848,0.000865592928591442
NQ,GLOBEX,B1,1day,E4_asS05,-0.7868227825907941,0.9804865648170461,-0.7435823798655498,0.9684354079160354,0.04324040272524432,0.0009431654785426631,1.4504272715711848,0.000865592928591442
ES,RTH,B0,1day,E1_a_exp_L1-5,-0.3108647917012917,0.8993495606637306,-0.33813654548771743,0.9318835500352095,-0.027271753786425712,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B0,1day,E1_a_exp_L1-10,-0.2868735366040316,0.9028320681215058,-0.31002100836206464,0.9317329463440764,-0.023147471758033056,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
