root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
ES,GLOBEX,B0,1day,345,TRQ10_TRV10,1953,0,0,0,0,1.4817212411420017e-11,3.3558790164534003e-06
ES,GLOBEX,B0,1day,345,MEDRQ_MEDRV,1953,0,0,0,0,1.9576459643264176e-11,3.5927745024126336e-06
ES,GLOBEX,B1,1day,5,RQ_RV,1953,0,0,0,0,5.270857960800745e-14,3.3139258448500186e-07
ES,GLOBEX,B1,1day,5,TQ_BV,1953,29,30,1,1,0.0,0.0
ES,GLOBEX,B1,1day,5,TRQ3_TRV3,1953,1,8,1,1,0.0,0.0
ES,GLOBEX,B1,1day,5,TRQ5_TRV5,1953,1,4,1,1,0.0,0.0
ES,GLOBEX,B1,1day,5,TRQ10_TRV10,1953,1,2,1,1,0.0,0.0
ES,GLOBEX,B1,1day,5,MEDRQ_MEDRV,1953,0,3,0,0,8.187684762660646e-16,2.440713223786297e-08
ES,GLOBEX,B1,1day,6,RQ_RV,1953,0,0,0,0,7.246589740338761e-14,2.904453140217811e-07
ES,GLOBEX,B1,1day,6,TQ_BV,1953,10,10,0,0,0.0,2.5271038354468745e-07
ES,GLOBEX,B1,1day,6,TRQ3_TRV3,1953,0,2,0,0,6.011008736720064e-16,3.46724391420139e-08
ES,GLOBEX,B1,1day,6,TRQ5_TRV5,1953,0,1,0,0,6.011008736720064e-16,3.46724391420139e-08
ES,GLOBEX,B1,1day,6,TRQ10_TRV10,1953,0,0,0,0,1.9145392562943255e-14,1.2876080290880054e-07
ES,GLOBEX,B1,1day,6,MEDRQ_MEDRV,1953,0,1,0,0,2.49748821541915e-15,7.381892152137791e-08
ES,GLOBEX,B1,1day,10,RQ_RV,1953,0,0,0,0,6.562288079949285e-13,9.194773156195879e-07
ES,GLOBEX,B1,1day,10,TQ_BV,1953,1,1,0,0,0.0,6.832316339431557e-07
ES,GLOBEX,B1,1day,10,TRQ3_TRV3,1953,0,0,0,0,4.137986326678003e-13,5.803294698125683e-07
ES,GLOBEX,B1,1day,10,TRQ5_TRV5,1953,0,0,0,0,4.137986326678003e-13,6.998216122156009e-07
ES,GLOBEX,B1,1day,10,TRQ10_TRV10,1953,0,0,0,0,6.562288079949285e-13,9.194773156195879e-07
ES,GLOBEX,B1,1day,10,MEDRQ_MEDRV,1953,0,0,0,0,2.4155893003611167e-13,5.849486290941543e-07
ES,GLOBEX,B1,1day,12,RQ_RV,1953,0,0,0,0,9.469224508702e-13,1.0399023722129641e-06
ES,GLOBEX,B1,1day,12,TQ_BV,1953,0,0,0,0,3.217438044174989e-14,7.875507267268446e-07
ES,GLOBEX,B1,1day,12,TRQ3_TRV3,1953,0,0,0,0,3.639891740332511e-13,6.005739123793319e-07
ES,GLOBEX,B1,1day,12,TRQ5_TRV5,1953,0,0,0,0,9.469224508702e-13,1.0399023722129641e-06
ES,GLOBEX,B1,1day,12,TRQ10_TRV10,1953,0,0,0,0,9.469224508702e-13,1.0399023722129641e-06
ES,GLOBEX,B1,1day,12,MEDRQ_MEDRV,1953,0,0,0,0,1.2169707223520997e-13,3.0639535973782334e-07
ES,GLOBEX,B1,1day,23,RQ_RV,1953,0,0,0,0,2.476066800357696e-12,1.7486870547145372e-06
ES,GLOBEX,B1,1day,23,TQ_BV,1953,0,0,0,0,2.0239998731232845e-12,1.24561539137434e-06
