root,geom,horizon,estimator,B0,B1,abs_diff,pct_diff
ES,GLOBEX,1day,E1_a_exp_L1-10,-0.2740783270776374,-0.2736803912401553,0.0003979358374820996,0.14519055254207583
ES,GLOBEX,1day,E1_a_exp_L1-5,-0.28908530220770856,-0.28765518376388455,0.0014301184438240133,0.49470465392130847
ES,GLOBEX,1day,E1_d_model_L1-10,-1.1344936014385867,-1.1347918609389083,0.0002982595003215849,0.026290099824571863
ES,GLOBEX,1day,E1_d_model_L1-5,-0.9246842563636127,-0.9254676600928108,0.0007834037291980511,0.08472121416653534
ES,GLOBEX,1day,E2,-0.22148537119236822,-0.22252506608328093,0.0010396948909127124,0.46941921505492973
ES,GLOBEX,1day,E4,-0.6265040342520823,-0.6267003425525822,0.00019630830049988113,0.03133392440708432
ES,GLOBEX,1day,E4_asS05,-0.16912029393429046,-0.46252792803917303,0.2934076341048826,173.4904944162895
ES,RTH,1day,E1_a_exp_L1-10,-0.2868735366040316,-0.2906875102281309,0.0038139736240992983,1.3294964984392006
ES,RTH,1day,E1_a_exp_L1-5,-0.3108647917012917,-0.3156227614198179,0.004757969718526156,1.5305592159494419
ES,RTH,1day,E1_d_model_L1-10,-1.6237074943583762,-1.6711769399568202,0.047469445598443905,2.9235219867727418
ES,RTH,1day,E1_d_model_L1-5,-0.8435308237409708,-0.8166574197444809,0.026873403996489853,3.1858235929434238
ES,RTH,1day,E2,-0.3702899586142057,-0.36546592985183746,0.00482402876236826,1.302770612636103
ES,RTH,1day,E4,-0.7044242036543622,-0.7058426977011333,0.0014184940467710794,0.20136929415717347
ES,RTH,1day,E4_asS05,-0.33350109232472747,-0.3331239281153991,0.00037716420932837336,0.11309234602480146
ES,RTH,1h,E1_a_exp_L1-10,-0.335683409621666,-0.34052327172229907,0.0048398621006330855,1.4417936549464514
ES,RTH,1h,E1_a_exp_L1-5,-0.36061815010505055,-0.36211166259376304,0.0014935124887124895,0.41415344410075283
ES,RTH,1h,E1_d_model_L1-10,-0.6987000311963419,-0.7338739047407823,0.03517387354444035,5.034188059819354
ES,RTH,1h,E1_d_model_L1-5,-0.7836817751683093,-0.836212796424708,0.05253102125639875,6.70310614855332
ES,RTH,1h,E2,-0.49644146004867323,-0.5024190406007196,0.005977580552046391,1.2040856844350436
ES,RTH,1h,E4,-0.6434127893703211,-0.6423270217870859,0.0010857675832351976,0.16875132126263592
ES,RTH,1h,E4_asS05,2.4540905671483766,2.464866800893817,0.010776233745440233,0.4391131236025281
ES,RTH,30min,E1_a_exp_L1-10,-0.43895535601142366,-0.4464946817209782,0.007539325709554567,1.7175609333169541
ES,RTH,30min,E1_a_exp_L1-5,-0.7610138959552538,-0.7555794532475834,0.0054344427076704616,0.7141055815871721
ES,RTH,30min,E1_d_model_L1-10,-2.1844769417445224,-2.663730658123659,0.4792537163791364,21.939060432306718
ES,RTH,30min,E2,1.1683406002331311,1.170055404762997,0.001714804529865832,0.14677265598094077
ES,RTH,30min,E4,-0.6089996839964602,-0.6073786688328614,0.0016210151635988046,0.26617668386314414
ES,RTH,30min,E4_asS05,1.798400936782435,1.7997743046920391,0.001373367909604184,0.07636605839748457
NQ,GLOBEX,1day,E1_a_exp_L1-10,-0.2886589111378938,-0.28646345966409315,0.0021954514738006803,0.7605694434120214
NQ,GLOBEX,1day,E1_a_exp_L1-5,-0.3239542593861698,-0.3197893848762055,0.004164874509964278,1.2856365950723734
NQ,GLOBEX,1day,E1_d_model_L1-10,-1.2121399044222914,-1.2562738127947257,0.04413390837243436,3.6409912924588257
NQ,GLOBEX,1day,E1_d_model_L1-5,-0.6853644320299721,-0.7074335560327747,0.022069124002802587,3.220056800647844
NQ,GLOBEX,1day,E2,-0.3215679901602372,-0.29196617226943805,0.02960181789079913,9.205461612036869
NQ,GLOBEX,1day,E4,-0.6027910603165793,-0.6045256796194861,0.001734619302906859,0.2877646032102493
NQ,GLOBEX,1day,E4_asS05,-0.7877058779324109,-0.7868227825907941,0.0008830953416167908,0.11210978188137437
NQ,RTH,1day,E1_a_exp_L1-10,-0.33416797443079194,-0.3326304668493659,0.001537507581426012,0.4601002187731902
NQ,RTH,1day,E1_a_exp_L1-5,-0.37307115454590073,-0.3721985935757247,0.0008725609701760173,0.2338859382570308
NQ,RTH,1day,E1_d_model_L1-10,-1.4087442509845964,-1.3986334931142277,0.010110757870368747,0.717714224090154
NQ,RTH,1day,E1_d_model_L1-5,-1.013909188158322,-0.9770474678662513,0.03686172029207069,3.6356037328182027
NQ,RTH,1day,E2,-0.3724576774027832,-0.48624634537037836,0.11378866796759518,30.550764522043085
NQ,RTH,1day,E4,-0.7076470944337411,-0.7088633652698744,0.001216270836133293,0.1718753381028933
NQ,RTH,1day,E4_asS05,-0.7920583679883544,-0.7939893460044704,0.0019309780161159695,0.24379238881349216
NQ,RTH,1h,E1_a_exp_L1-10,-0.32739218390856056,-0.3341558117283324,0.006763627819771856,2.065909985701098
