root,geom,btag,horizon,M,proxy,estimator,lam,var_log_proxy,n_windows,trv_over_rv,trigamma,two_over_M,trimmed
ES,GLOBEX,B0,1day,5,RV,E1_a_exp_L1-5,0.5956639710359642,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E1_a_exp_L1-10,0.5871973323902172,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E1_d_model_L1-5,0.6818363516915608,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E1_d_model_L1-10,0.7626460265902446,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E2,1.110793976920714,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E4,0.8325175125134953,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E4_asS05,0.9986494381892058,2.023316946343081,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E1_a_exp_L1-5,0.004727633799797654,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E1_a_exp_L1-10,0.0029004685944582793,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E1_d_model_L1-5,0.012421302765256484,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E1_d_model_L1-10,0.0032506363478876426,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E2,0.009386463814548858,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E4,0.9986494381892058,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,TRV3,E4_asS05,0.9986494381892058,239.4392949042149,1953,0.8963851537697567,0.4903577561002349,0.4,False
ES,GLOBEX,B0,1day,5,RV,E1_a_exp_L1-5,0.5833351509534943,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E1_a_exp_L1-10,0.5809879513189297,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E1_d_model_L1-5,0.6569401534334046,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E1_d_model_L1-10,0.7319458516314573,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E2,1.2670005708600574,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E4,0.8352185573833734,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,5,RV,E4_asS05,0.8742667023189847,2.0576347229827743,1953,,0.4903577561002349,0.4,True
ES,GLOBEX,B0,1day,6,RV,E1_a_exp_L1-5,0.6131616265901894,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E1_a_exp_L1-10,0.5997358930699085,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E1_d_model_L1-5,0.6905692616973194,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E1_d_model_L1-10,0.7550980199186257,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E2,0.6311869932012967,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E4,0.8508364935836736,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,RV,E4_asS05,0.998806677936662,2.050281074184577,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,TRV3,E1_a_exp_L1-5,0.006030886236651496,239.34753036166674,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
ES,GLOBEX,B0,1day,6,TRV3,E1_a_exp_L1-10,0.00637733565138839,239.34753036166674,1953,0.8862462015619129,0.39493406684822646,0.3333333333333333,False
