root,geom,btag,horizon,M,session_minutes,L_returns_per_window,M_divides_session,M_divides_L,subbar_size_min,subbar_size_max,n_stub_subbars,n_windows,var_log_rv,n_nonfinite_log,share_full_M,share_below_0p9M,mean_eff_M,mean_first_share,mean_last_share,trigamma_M_over_2,two_over_M,mean_trv_over_rv,note
ES,GLOBEX,B0,1day,5,1380,1379,True,False,275,276,1,1953,2.023316946343081,0,0.998463901689708,0.0015360983102918,4.998463901689708,0.1211610952206679,0.2795090772994888,0.4903577561002349,0.4,0.8963851537697567,
ES,GLOBEX,B0,1day,6,1380,1379,True,False,229,230,1,1953,2.050281074184577,0,0.9733742959549412,0.0266257040450588,5.972350230414746,0.1031729685461289,0.2409959775345117,0.3949340668482264,0.3333333333333333,0.8862462015619129,
ES,GLOBEX,B0,1day,10,1380,1379,True,False,137,138,1,1953,1.708196859425972,0,0.9728622631848438,0.0015360983102918,9.96979006656426,0.0564334740529269,0.1523109756165355,0.2213229557371153,0.2,0.8810529844170812,
ES,GLOBEX,B0,1day,12,1380,1379,True,False,114,115,1,1953,1.6972763586777508,0,0.9723502304147466,0.0266257040450588,11.943164362519202,0.0437372171103515,0.1262986071466762,0.1813229557371153,0.1666666666666666,0.8606464273234318,
ES,GLOBEX,B0,1day,23,1380,1379,True,False,59,60,1,1953,1.5134912872944053,0,0.9723502304147466,0.0266257040450588,22.887352790578596,0.0240808864445091,0.0299111205909914,0.0908466612745462,0.0869565217391304,0.8140011147524961,
ES,GLOBEX,B0,1day,46,1380,1379,True,False,29,30,1,1953,1.420051359269385,0,0.971326164874552,0.0271377368151561,45.770609318996414,0.015942189137435,0.0104436930661445,0.0444371335365786,0.0434782608695652,0.7617120427450689,
ES,GLOBEX,B0,1day,138,1380,1379,True,False,9,10,1,1953,1.3123452370132864,0,0.3061955965181772,0.0276497695852534,136.63236047107014,0.0080677263964002,0.002905473934522,0.0145982808984423,0.0144927536231884,0.7149515856810496,
ES,GLOBEX,B0,1day,345,1380,1379,True,False,3,4,1,1953,1.220728602835509,0,0.3056835637480798,0.0281618023553507,341.10291858678954,0.0038591620159323,0.0013687314005342,0.0058139371116011,0.0057971014492753,0.7045527491227342,
ES,GLOBEX,B1,1day,5,1380,1379,True,False,275,276,1,1953,2.0214334056908165,0,0.998463901689708,0.0015360983102918,4.998463901689708,0.1215367063832641,0.2802160272080157,0.4903577561002349,0.4,0.9008353738456116,
ES,GLOBEX,B1,1day,6,1380,1379,True,False,229,230,1,1953,2.0614722980778666,0,0.9733742959549412,0.0266257040450588,5.972350230414746,0.1050135044556928,0.2368000928219354,0.3949340668482264,0.3333333333333333,0.8893269807526273,
ES,GLOBEX,B1,1day,10,1380,1379,True,False,137,138,1,1953,1.733752892535443,0,0.9728622631848438,0.0015360983102918,9.96979006656426,0.0563076187807117,0.1472626682490631,0.2213229557371153,0.2,0.8897387513815859,
ES,GLOBEX,B1,1day,12,1380,1379,True,False,114,115,1,1953,1.7119648410236044,0,0.9723502304147466,0.0266257040450588,11.943164362519202,0.0428012883404855,0.1205481756111015,0.1813229557371153,0.1666666666666666,0.8631635107048081,
ES,GLOBEX,B1,1day,23,1380,1379,True,False,59,60,1,1953,1.5300181798960488,0,0.9723502304147466,0.0266257040450588,22.887352790578596,0.0233705062458891,0.0272386807793777,0.0908466612745462,0.0869565217391304,0.812794727554106,
ES,GLOBEX,B1,1day,46,1380,1379,True,False,29,30,1,1953,1.430672917311101,0,0.971326164874552,0.0271377368151561,45.770609318996414,0.014770491053017,0.0108182027383412,0.0444371335365786,0.0434782608695652,0.7697562359436474,
ES,GLOBEX,B1,1day,138,1380,1379,True,False,9,10,1,1953,1.3219597535250718,0,0.3061955965181772,0.0276497695852534,136.63236047107014,0.0067231204114488,0.0030151776067946,0.0145982808984423,0.0144927536231884,0.727429118452734,
ES,GLOBEX,B1,1day,345,1380,1379,True,False,3,4,1,1953,1.22685547143568,0,0.3056835637480798,0.0281618023553507,341.10291858678954,0.0024543663605318,0.0014132074724933,0.0058139371116011,0.0057971014492753,0.7086842926279142,
NQ,GLOBEX,B0,1day,5,1380,1379,True,False,275,276,1,1948,1.9032951015076205,0,0.9984599589322382,0.0015400410677618,4.998459958932238,0.1101953159160614,0.277618364476022,0.4903577561002349,0.4,0.8915632962704334,
NQ,GLOBEX,B0,1day,6,1380,1379,True,False,229,230,1,1948,1.908129701335428,0,0.9758726899383984,0.0241273100616016,5.974845995893224,0.0938781605497607,0.2367312467559451,0.3949340668482264,0.3333333333333333,0.8832762120543511,
NQ,GLOBEX,B0,1day,10,1380,1379,True,False,137,138,1,1948,1.5455114440776194,0,0.9753593429158112,0.0015400410677618,9.972279260780288,0.0501539216511906,0.1443969064054915,0.2213229557371153,0.2,0.866511770792767,
NQ,GLOBEX,B0,1day,12,1380,1379,True,False,114,115,1,1948,1.5747649063393498,0,0.9748459958932238,0.0241273100616016,11.948151950718684,0.0388099239097485,0.1183543623685179,0.1813229557371153,0.1666666666666666,0.8321973192551033,
NQ,GLOBEX,B0,1day,23,1380,1379,True,False,59,60,1,1948,1.3674164774385906,0,0.9748459958932238,0.0241273100616016,22.897330595482547,0.0218637329204101,0.0358765147617105,0.0908466612745462,0.0869565217391304,0.7943204793287713,
NQ,GLOBEX,B0,1day,46,1380,1379,True,False,29,30,1,1948,1.2827947530383816,0,0.9738193018480492,0.0246406570841889,45.78952772073922,0.0147449668976593,0.0116944949451517,0.0444371335365786,0.0434782608695652,0.7166980726219627,
NQ,GLOBEX,B0,1day,138,1380,1379,True,False,9,10,1,1948,1.1919436636551204,0,0.3069815195071869,0.0251540041067761,136.66324435318276,0.0072394124179293,0.0024960714281238,0.0145982808984423,0.0144927536231884,0.6726401133629406,
NQ,GLOBEX,B0,1day,345,1380,1379,True,False,3,4,1,1948,1.1347261358242071,0,0.3069815195071869,0.0256673511293634,340.5811088295688,0.0034234199548889,0.0011355181660742,0.0058139371116011,0.0057971014492753,0.6603238976243117,
NQ,GLOBEX,B1,1day,5,1380,1379,True,False,275,276,1,1948,1.8991211834437824,0,0.9984599589322382,0.0015400410677618,4.998459958932238,0.1106089202802875,0.2768111614485285,0.4903577561002349,0.4,0.8931935587769513,
NQ,GLOBEX,B1,1day,6,1380,1379,True,False,229,230,1,1948,1.9039529265724109,0,0.9758726899383984,0.0241273100616016,5.974845995893224,0.0931411985755717,0.2350230610297281,0.3949340668482264,0.3333333333333333,0.8716949090590509,
NQ,GLOBEX,B1,1day,10,1380,1379,True,False,137,138,1,1948,1.5798563754025008,0,0.9753593429158112,0.0015400410677618,9.972279260780288,0.0499220424422236,0.1414847355331859,0.2213229557371153,0.2,0.8704485363022336,
NQ,GLOBEX,B1,1day,12,1380,1379,True,False,114,115,1,1948,1.5800938777259734,0,0.9748459958932238,0.0241273100616016,11.948151950718684,0.0376871502688138,0.1131139731554301,0.1813229557371153,0.1666666666666666,0.832279756129236,
NQ,GLOBEX,B1,1day,23,1380,1379,True,False,59,60,1,1948,1.3807796713813238,0,0.9748459958932238,0.0241273100616016,22.897330595482547,0.0207405139059587,0.0336430056959084,0.0908466612745462,0.0869565217391304,0.7936164470528939,
NQ,GLOBEX,B1,1day,46,1380,1379,True,False,29,30,1,1948,1.289831249860521,0,0.9738193018480492,0.0246406570841889,45.78952772073922,0.0132412945636879,0.0120570576165793,0.0444371335365786,0.0434782608695652,0.7245861023761394,
NQ,GLOBEX,B1,1day,138,1380,1379,True,False,9,10,1,1948,1.2003968480859937,0,0.3069815195071869,0.0251540041067761,136.66324435318276,0.0058010189466634,0.0026005822619885,0.0145982808984423,0.0144927536231884,0.6845704466867877,
NQ,GLOBEX,B1,1day,345,1380,1379,True,False,3,4,1,1948,1.139072020743408,0,0.3069815195071869,0.0256673511293634,340.5811088295688,0.0021451109948132,0.0011720287852928,0.0058139371116011,0.0057971014492753,0.6626409502295734,
ES,RTH,B0,1day,5,390,389,True,False,77,78,1,1901,1.948850862219224,0,1.0,0.0,5.0,0.2958282211875745,0.2158311736170113,0.4903577561002349,0.4,0.9015429226955076,
ES,RTH,B0,1day,6,390,389,True,False,64,65,1,1901,1.826091559527808,0,1.0,0.0,6.0,0.2636640620490447,0.1850387224177238,0.3949340668482264,0.3333333333333333,0.9158467408596486,
ES,RTH,B0,1day,10,390,389,True,False,38,39,1,1901,1.6040631157317915,0,1.0,0.0,10.0,0.1784186476308762,0.1270962410721979,0.2213229557371153,0.2,0.9151594016412836,
ES,RTH,B0,1day,13,390,389,True,False,29,30,1,1901,1.5283148259668886,0,1.0,0.0,13.0,0.1419191859325406,0.1090977961615265,0.1662845357499582,0.1538461538461538,0.9109099060959448,
ES,RTH,B0,1day,26,390,389,True,False,14,15,1,1901,1.3813160554355983,0,1.0,0.0,26.0,0.0817657813151567,0.0702759759868524,0.0799574284273239,0.0769230769230769,0.88505408045381,
ES,RTH,B0,1day,78,390,389,True,False,4,5,1,1901,1.2879430297423513,0,0.9984218832193582,0.0,77.99684376643872,0.0292804973639039,0.0293036055997318,0.0259725660372147,0.0256410256410256,0.8481204607811696,
ES,RTH,B0,1day,195,390,389,True,False,1,2,1,1901,1.1822887198092389,0,0.9984218832193582,0.0,194.98947922146235,0.0089349281544337,0.0159688509207458,0.0103091870470215,0.0102564102564102,0.8284416826771146,
ES,RTH,B0,1h,4,60,60,True,True,15,15,0,11406,2.290181392006856,0,1.0,0.0,4.0,0.265331624864209,0.2303544726525656,0.6449340668482266,0.5,0.9284615120345546,
ES,RTH,B0,1h,5,60,60,True,True,12,12,0,11406,2.1377636090752703,0,1.0,0.0,5.0,0.2146617823035156,0.1884810037465671,0.4903577561002349,0.4,0.9316255432567718,
ES,RTH,B0,1h,6,60,60,True,True,10,10,0,11406,2.0478772170965818,0,0.9998246536910398,0.0001753463089601,5.99982465369104,0.1827514932603189,0.1568393711720856,0.3949340668482264,0.3333333333333333,0.9382811206695486,
ES,RTH,B0,1h,10,60,60,True,True,6,6,0,11406,1.8316367808086953,0,0.9997369805365596,0.0001753463089601,9.9995616342276,0.1151235820947489,0.094352939584153,0.2213229557371153,0.2,0.93836923334722,
ES,RTH,B0,1h,12,60,60,True,True,5,5,0,11406,1.7888184172749784,0,0.9997369805365596,0.0002630194634402,11.99947396107312,0.0986618000040268,0.0774987360405492,0.1813229557371153,0.1666666666666666,0.9381296755637394,
ES,RTH,B0,1h,15,60,60,True,True,4,4,0,11406,1.7090042676361088,0,0.9997369805365596,0.0002630194634402,14.99929861476416,0.0791195031724619,0.0633038357170956,0.1426158966967038,0.1333333333333333,0.9308286479080836,
ES,RTH,B0,1h,20,60,60,True,True,3,3,0,11406,1.6451706106667912,0,0.9997369805365596,0.0002630194634402,19.99894792214624,0.0605397781640261,0.0488751663631084,0.1051663356816857,0.1,0.9243023355064154,
ES,RTH,B0,1h,30,60,60,True,True,2,2,0,11406,1.5483130471458506,0,0.9997369805365596,0.0002630194634402,29.99833421006488,0.0428461116047853,0.0338796813450156,0.0689382278476838,0.0666666666666666,0.914452525831234,
ES,RTH,B0,1h,60,60,60,True,True,1,1,0,11406,1.379757187868818,0,0.9997369805365596,0.0002630194634402,59.99631772751184,0.0216512954363903,0.0212244667870885,0.0338950603577399,0.0333333333333333,0.9035161935963858,
ES,RTH,B0,30min,5,30,30,True,True,6,6,0,22812,2.147580458450691,0,0.9998684902682798,0.0001315097317201,4.9997808171138,0.2201119616385821,0.1955918034635285,0.4903577561002349,0.4,0.9261710392572926,
ES,RTH,B0,30min,6,30,30,True,True,5,5,0,22812,2.05985104937167,0,0.9998684902682798,0.0001315097317201,5.99973698053656,0.18679344055461,0.1616081940282712,0.3949340668482264,0.3333333333333333,0.9323606871818028,
ES,RTH,B0,30min,10,30,30,True,True,3,3,0,22812,1.8133454017242416,0,0.9998246536910398,0.0001315097317201,9.99947396107312,0.117176802624863,0.1032503281004653,0.2213229557371153,0.2,0.9321148654376268,
ES,RTH,B0,30min,15,30,30,True,True,2,2,0,22812,1.6698530817990072,0,0.9998246536910398,0.0001315097317201,14.99916710503244,0.0834343847187663,0.0734016720967469,0.1426158966967038,0.1333333333333333,0.9281984688766232,
ES,RTH,B0,30min,30,30,30,True,True,1,1,0,22812,1.454255243185988,0,0.9998246536910398,0.0001315097317201,29.99815886375592,0.0429540914152682,0.0480316091429285,0.0689382278476838,0.0666666666666666,0.9182773891744102,
ES,RTH,B1,1day,5,390,389,True,False,77,78,1,1901,1.971067250843463,0,1.0,0.0,5.0,0.2931298578362608,0.2048493317452563,0.4903577561002349,0.4,0.909742732520125,
ES,RTH,B1,1day,6,390,389,True,False,64,65,1,1901,1.8424833951475572,0,1.0,0.0,6.0,0.2593874418826322,0.1741038419565309,0.3949340668482264,0.3333333333333333,0.9171836118946703,
ES,RTH,B1,1day,10,390,389,True,False,38,39,1,1901,1.6110380074526771,0,1.0,0.0,10.0,0.1731818200362612,0.1161678991336327,0.2213229557371153,0.2,0.9159544057082668,
ES,RTH,B1,1day,13,390,389,True,False,29,30,1,1901,1.5395361920738684,0,1.0,0.0,13.0,0.1353020282607611,0.0968619194484072,0.1662845357499582,0.1538461538461538,0.9164200993656884,
ES,RTH,B1,1day,26,390,389,True,False,14,15,1,1901,1.3880202216140394,0,1.0,0.0,26.0,0.0724403564367445,0.0569845118611429,0.0799574284273239,0.0769230769230769,0.8978886481871853,
ES,RTH,B1,1day,78,390,389,True,False,4,5,1,1901,1.296075064084177,0,0.9984218832193582,0.0,77.99684376643872,0.0199152399200402,0.0165513269211929,0.0259725660372147,0.0256410256410256,0.8561571629578308,
ES,RTH,B1,1day,195,390,389,True,False,1,2,1,1901,1.1909780923944289,0,0.9984218832193582,0.0,194.98947922146235,0.0,0.0037918345350808,0.0103091870470215,0.0102564102564102,0.8313634943496441,
ES,RTH,B1,1h,4,60,60,True,True,15,15,0,11406,2.2845022229650738,0,1.0,0.0,4.0,0.2614709486356296,0.2314653958037843,0.6449340668482266,0.5,0.9293143131746632,
ES,RTH,B1,1h,5,60,60,True,True,12,12,0,11406,2.12771716833462,0,1.0,0.0,5.0,0.2109780507618324,0.1894531015972849,0.4903577561002349,0.4,0.933964364567164,
