cell,model,rank,window_index,trade_date,coef,regressors,components,linear_fit,fit_negative_by_construction,forecast_stored,realized,coef_fit_at_step
NQ/GLOBEX/B0/1h,M3_HARJ,3,27366,2021-02-15,"[5.689453376551773e-07, 0.550392128779247, 0.45188440200632324, -0.06845072889905032, -0.12875064801938974]","[1.0, 0.0, 2.624692693974463e-06, 6.1128617887356806e-06, 0.0]","[5.689453376551773e-07, 0.0, 1.1860576884670156e-06, -4.184298450981099e-07, -0.0]",1.3365731810240831e-06,False,1.3365731810240831e-06,0.0,27346
NQ/GLOBEX/B0/1h,M4_HARQ,1,28048,2021-04-02,"[1.619411423399884e-07, 0.7197472366818939, 0.36386476273496826, -0.07640516329118165, -250.26854240730552]","[1.0, 0.0, 5.571920436605896e-06, 1.314379525399639e-05, 0.0]","[1.619411423399884e-07, 0.0, 2.0274255076437253e-06, -1.0042538226474526e-06, -0.0]",1.185112827336261e-06,False,1.1851128273362612e-06,0.0,28028
NQ/GLOBEX/B0/1h,M4_HARQ,2,18697,2019-07-04,"[1.6701824441089966e-07, 0.7574951119033362, 0.2512995951424026, -0.009519414705720531, -816.5378022411714]","[1.0, 3.2347179512726143e-07, 2.035893133076818e-06, 3.9443853472394115e-06, 1.2568145898252348e-13]","[1.6701824441089966e-07, 2.4502830364749793e-07, 5.11619120095402e-07, -3.754823987953944e-08, -1.0262366230005366e-10]",8.860148046119601e-07,False,8.860148046119601e-07,0.0,18678
NQ/GLOBEX/B0/1h,M4_HARQ,3,18698,2019-07-04,"[1.6701824441089966e-07, 0.7574951119033362, 0.2512995951424026, -0.009519414705720531, -816.5378022411714]","[1.0, 0.0, 1.9891747466648336e-06, 3.920863638229116e-06, 0.0]","[1.6701824441089966e-07, 0.0, 4.998788085043639e-07, -3.732432697688315e-08, -0.0]",6.295727259383805e-07,False,6.295727259383804e-07,0.0,18678
NQ/GLOBEX/B0/30min,M3_HARJ,1,66145,2022-01-17,"[2.7638446425733315e-07, 0.4895220642023293, 0.48616522598528544, -0.07507671742396885, 0.2066969063317473]","[1.0, 0.0, 4.880206716835447e-06, 4.072401327103955e-06, 0.0]","[2.7638446425733315e-07, 0.0, 2.3725868013452128e-06, -3.057425236719794e-07, 0.0]",2.3432287419305667e-06,False,2.3432287419305667e-06,0.0,66105
NQ/GLOBEX/B0/30min,M3_HARJ,2,18310,2017-09-04,"[8.393465136870555e-08, 0.5097709661383393, 0.31308607054179083, 0.0616156406961579, 0.39026499703316475]","[1.0, 0.0, 8.827226419169973e-07, 1.155735028096571e-06, 0.0]","[8.393465136870555e-08, 0.0, 2.76368163336061e-07, 7.121135423116228e-08, 0.0]",4.315141689359288e-07,False,4.315141689359288e-07,0.0,18270
NQ/GLOBEX/B0/30min,M3_HARJ,3,64704,2021-11-25,"[2.7389884712846545e-07, 0.48831579413231757, 0.4881125527415106, -0.07573210596982971, 0.2058026954946111]","[1.0, 0.0, 2.3600561972772185e-06, 1.6529504486096252e-06, 0.0]","[2.7389884712846545e-07, 0.0, 1.1519730550664052e-06, -1.251814185369817e-07, 0.0]",1.300690483657889e-06,False,1.300690483657889e-06,0.0,64665
NQ/GLOBEX/B0/30min,M4_HARQ,1,79637,2023-04-07,"[2.3559975388604228e-07, 0.5932226784020276, 0.4261862548392173, -0.061276628485108696, -170.34135104828076]","[1.0, 0.0, 1.608641004066966e-06, 3.468178385097564e-06, 0.0]","[2.3559975388604228e-07, 0.0, 6.855806849040984e-07, -2.1251827842370766e-07, -0.0]",7.08662160366433e-07,False,7.08662160366433e-07,0.0,79605
NQ/GLOBEX/B0/30min,M4_HARQ,2,73253,2022-09-05,"[1.5742130053125813e-07, 0.655347754948733, 0.39363201612112303, -0.06860195048126998, -299.7150005367009]","[1.0, 1.5289770090021193e-06, 6.588387805095408e-06, 4.706354475917643e-06, 2.3575228258739166e-12]","[1.5742130053125813e-07, 1.0020116502177675e-06, 2.593400374707526e-06, -3.2286509670420543e-07, -7.065849550220856e-10]",3.429261643797324e-06,False,3.429261643797324e-06,0.0,73215
NQ/GLOBEX/B0/30min,M4_HARQ,3,79641,2023-04-07,"[2.3559975388604228e-07, 0.5932226784020276, 0.4261862548392173, -0.061276628485108696, -170.34135104828076]","[1.0, 0.0, 1.5488435949211838e-06, 3.4358882832674853e-06, 0.0]","[2.3559975388604228e-07, 0.0, 6.600958510511691e-07, -2.1053964985011962e-07, -0.0]",6.851559550870917e-07,False,6.851559550870917e-07,0.0,79605
