root,geom,btag,horizon,proxy,trimmed,estimator,n_grid,n_valid,product_min,product_max,ratio_max_min,cv,elasticity,elasticity_r2,n_used,n_dropped,elasticity_s05grid,elasticity_s05grid_r2,n_used_s05grid
ES,GLOBEX,B0,1day,RV,False,E1_a_exp_L1-10,9,9,0.9037674724427451,1.2296271510704186,1.3605569890083837,0.0843544609516444,-0.2740783270776374,0.9120224334796067,9,0,-0.17606143008543268,0.9606512699917983,5
ES,GLOBEX,B0,1day,RV,False,E1_a_exp_L1-5,9,9,0.9155187699176768,1.257153678414096,1.373159917329864,0.08668018852212601,-0.28908530220770856,0.8874017024051507,9,0,-0.1732055585984705,0.9035798076902678,5
ES,GLOBEX,B0,1day,RV,False,E1_d_model_L1-10,9,5,1.4286711920877846,1.5481631793934072,1.083638550260822,0.029921201645922674,-1.1344936014385867,0.9777914716031118,5,4,,,1
ES,GLOBEX,B0,1day,RV,False,E1_d_model_L1-5,9,9,1.0403499358123478,1.4158610876716302,1.3609469649902635,0.08611868130667043,-0.9246842563636127,0.9931744357526123,9,0,-0.9590869043920739,0.9856067602521029,5
ES,GLOBEX,B0,1day,RV,False,E2,9,8,0.8816857463805374,1.294110746432088,1.4677687052837385,0.10403163128567436,-0.22148537119236822,0.7627450933631061,8,1,-0.09749119142658394,0.532450759023142,5
ES,GLOBEX,B0,1day,RV,False,E4,9,9,1.036443971881999,1.7444539600201734,1.6831145796068003,0.15147451173091447,-0.6265040342520823,0.9941325048384569,9,0,-0.6824347316491413,0.9996068558628421,5
ES,GLOBEX,B0,1day,RV,False,E4_asS05,9,9,1.040730114484502,2.0478344285427084,1.967690182153563,0.21568508111876422,-0.16912029393429046,0.030539557968696673,9,0,-0.8878271218016931,0.9997371412168555,5
ES,GLOBEX,B0,1day,RV,True,E1_a_exp_L1-10,8,8,1.0411786418073175,1.2349897224084576,1.1861458474260627,0.050472914694703636,-0.33442096033736735,0.9401206985213517,8,0,-0.21348930821548304,0.9875942526282303,4
ES,GLOBEX,B0,1day,RV,True,E1_a_exp_L1-5,8,8,1.0660790638239013,1.2668813995241457,1.1883559508053652,0.05206116463663121,-0.36110984159685694,0.9414074936566215,8,0,-0.2527131802176383,0.98430530761888,4
ES,GLOBEX,B0,1day,RV,True,E1_d_model_L1-10,8,6,1.392608540382723,1.55478818805395,1.116457455895435,0.03764502476049785,-1.3746075218855882,0.9905636133970082,6,2,,,2
