root,geom,btag,horizon,estimator,cv_RV,cv_TRV3,elasticity_RV,elasticity_TRV3,ratio_max_min_RV,ratio_max_min_TRV3,elasticity_shift_TRV3_minus_RV,moves_toward_minus1
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,0.0843544609516444,0.19258616167122575,-0.2740783270776374,-1.1045499162763368,1.3605569890083837,2.1978833229871033,-0.8304715891986993,True
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,0.08668018852212601,0.112452327149427,-0.28908530220770856,-1.105688813283882,1.373159917329864,1.5804270940098428,-0.8166035110761735,True
ES,GLOBEX,B0,1day,E1_d_model_L1-10,0.029921201645922674,0.2284872105622377,-1.1344936014385867,-5.939631864674974,1.083638550260822,2.191327899005586,-4.805138263236387,False
ES,GLOBEX,B0,1day,E1_d_model_L1-5,0.08611868130667043,0.3367397930054532,-0.9246842563636127,-3.1396588282535958,1.3609469649902635,2.2079180039045934,-2.214974571889983,False
ES,GLOBEX,B0,1day,E2,0.10403163128567436,0.2884673698392233,-0.22148537119236822,-0.9955143440321177,1.4677687052837385,2.5490808790159183,-0.7740289728397495,True
ES,GLOBEX,B0,1day,E4,0.15147451173091447,1.822806699199154,-0.6265040342520823,-0.16912029393429046,1.6831145796068003,237.089583825637,0.4573837403177919,False
ES,GLOBEX,B0,1day,E4_asS05,0.21568508111876422,1.822806699199154,-0.16912029393429046,-0.16912029393429046,1.967690182153563,237.089583825637,0.0,False
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,0.08542813419357788,0.11308764567320297,-0.2736803912401553,-0.7500112706102053,1.3625753279845534,1.4343314393015512,-0.47633087937005003,True
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,0.08838895785975637,0.13209775141829083,-0.28765518376388455,-0.7952630566763309,1.3774029660255889,1.5539713651427354,-0.5076078729124464,True
ES,GLOBEX,B1,1day,E1_d_model_L1-10,0.025886102411848563,0.16591174223322921,-1.1347918609389083,-4.177146871569492,1.0767798297671183,1.6515843893034683,-3.0423550106305832,False
ES,GLOBEX,B1,1day,E1_d_model_L1-5,0.08734953329443292,0.13010059513248676,-0.9254676600928108,-2.58053984218677,1.3651978794450903,1.6340013734689043,-1.6550721820939591,False
ES,GLOBEX,B1,1day,E2,0.10448819319355665,0.6399906181550221,-0.22252506608328093,-0.6219496476453211,1.4644647701634814,4.690019431741955,-0.3994245815620402,True
ES,GLOBEX,B1,1day,E4,0.15159307787617707,2.6771784535013166,-0.6267003425525822,-0.46252792803917303,1.69063259608596,236.81711067805855,0.1641724145134092,False
ES,GLOBEX,B1,1day,E4_asS05,0.1915302651521639,2.6771784535013166,-0.46252792803917303,-0.46252792803917303,1.9337794736752094,236.81711067805855,0.0,False
ES,RTH,B0,1day,E1_a_exp_L1-10,0.07740636764350027,0.09223195957634975,-0.2868735366040316,-0.8794268543822132,1.283939403381122,1.388270865428942,-0.5925533177781817,True
ES,RTH,B0,1day,E1_a_exp_L1-5,0.0789059614878342,0.08448905531881047,-0.3108647917012917,-0.9179856876214152,1.2848982659382497,1.3349416954595306,-0.6071208959201235,True
ES,RTH,B0,1day,E1_d_model_L1-10,0.03634149396307612,0.03278468985163793,-1.6237074943583762,-6.882783170389269,1.1121262263793914,1.0898118894034232,-5.259075676030893,False
ES,RTH,B0,1day,E1_d_model_L1-5,0.0776082614250535,0.08039966480370725,-0.8435308237409708,-2.0247847911223382,1.2736014888554938,1.290437868578677,-1.1812539673813673,False
ES,RTH,B0,1day,E2,0.0863917895648693,0.0863917895648693,-0.3702899586142057,-0.921206835667763,1.3084678217747214,1.3084678217747214,-0.5509168770535573,True
ES,RTH,B0,1day,E4,0.13227681126470064,2.5283900497938614,-0.7044242036543622,-0.33350109232472747,1.520825883822064,220.71852248596846,0.37092311132963474,False
ES,RTH,B0,1day,E4_asS05,0.18198118106600494,2.5283900497938614,-0.33350109232472747,-0.33350109232472747,1.794255801892122,220.71852248596846,0.0,False
ES,RTH,B0,1h,E1_a_exp_L1-10,0.06840326975349474,1.9274394505734416,-0.335683409621666,-2.8241009665466548,1.2576043538564288,51.74821538000093,-2.488417556924989,False
ES,RTH,B0,1h,E1_a_exp_L1-5,0.06841161658030147,1.5008526598628704,-0.36061815010505055,-2.9104014187797698,1.2590628539001558,29.460681466641233,-2.549783268674719,False
ES,RTH,B0,1h,E1_d_model_L1-10,0.07235997989309942,1.895758361691569,-0.6987000311963419,-3.517769218345702,1.275725653752897,47.833652028798326,-2.81906918714936,False
ES,RTH,B0,1h,E1_d_model_L1-5,0.07136254381018105,2.725800398153623,-0.7836817751683093,-2.9974512662294814,1.2712993492321134,762.3803967882676,-2.2137694910611723,False
ES,RTH,B0,1h,E2,0.06298732366173779,0.5433254930026374,-0.49644146004867323,-3.9497779167760303,1.2119703447370576,3.5679308274753896,-3.453336456727357,False
ES,RTH,B0,1h,E4,0.10983132972435264,1.6491425555243013,-0.6434127893703211,2.4540905671483766,1.4581649260188374,2059.3071834224315,3.097503356518698,False
ES,RTH,B0,1h,E4_asS05,0.17226549264899207,1.6491425555243013,2.4540905671483766,2.4540905671483766,1.6998206128297102,2059.3071834224315,0.0,False
ES,RTH,B0,30min,E1_a_exp_L1-10,0.06806916769641218,1.2618109415958416,-0.43895535601142366,-0.455041668152897,1.21603330900214,65.73016485055868,-0.016086312141473325,True
ES,RTH,B0,30min,E1_a_exp_L1-5,0.06814177023870531,1.1451149551998014,-0.7610138959552538,-0.39970539710505143,1.2089087183226337,57.197437000371934,0.3613084988502024,False
ES,RTH,B0,30min,E1_d_model_L1-10,0.04383140488117327,1.069262738426102,-2.1844769417445224,-0.41436976090042277,1.1164517184203366,55.658134972114894,1.7701071808440996,True
ES,RTH,B0,30min,E1_d_model_L1-5,0.0069862444492207075,1.1121354671148675,,-0.40653325237131505,1.014070790883145,53.115589943758756,,False
ES,RTH,B0,30min,E2,0.16689098408560965,0.688170535469404,1.1683406002331311,-1.7920376594058602,1.482436622844541,5.318177215739382,-2.9603782596389916,True
ES,RTH,B0,30min,E4,0.10498058919873103,1.23370039618596,-0.6089996839964602,1.798400936782435,1.3417300268227201,190.67559843794285,2.407400620778895,False
ES,RTH,B0,30min,E4_asS05,0.1395017259976378,1.23370039618596,1.798400936782435,1.798400936782435,1.478160631810435,190.67559843794285,0.0,False
ES,RTH,B1,1day,E1_a_exp_L1-10,0.07460738107753595,0.09555791577872157,-0.2906875102281309,-0.8777069119265499,1.261212355054057,1.410833391479274,-0.587019401698419,True
ES,RTH,B1,1day,E1_a_exp_L1-5,0.07695045354954463,0.07908720374356445,-0.3156227614198179,-0.9260875589440957,1.2778076044728257,1.3099284788143146,-0.6104647975242778,True
ES,RTH,B1,1day,E1_d_model_L1-10,0.03352637211983267,0.11469390785871912,-1.6711769399568202,-6.233784014442992,1.1097742590114854,1.2886598658262203,-4.562607074486172,False
ES,RTH,B1,1day,E1_d_model_L1-5,0.07633235317216781,0.07282292176698667,-0.8166574197444809,-1.922495257022578,1.2666316787583767,1.2658776866698698,-1.105837837278097,False
ES,RTH,B1,1day,E2,0.09058857012237233,0.09058857012237233,-0.36546592985183746,-0.9256782996576144,1.34295068731105,1.34295068731105,-0.5602123698057769,True
ES,RTH,B1,1day,E4,0.134534051006742,2.5280185624937324,-0.7058426977011333,-0.3331239281153991,1.531163933210133,219.94501314344527,0.3727187695857342,False
ES,RTH,B1,1day,E4_asS05,0.18381151476150825,2.5280185624937324,-0.3331239281153991,-0.3331239281153991,1.8020540244049148,219.94501314344527,0.0,False
ES,RTH,B1,1h,E1_a_exp_L1-10,0.06883981182208913,1.867377031561586,-0.34052327172229907,-2.862175348078173,1.259634657379752,46.95570342853116,-2.521652076355874,False
ES,RTH,B1,1h,E1_a_exp_L1-5,0.07014333456227295,1.4805982636214916,-0.36211166259376304,-2.9399689091438526,1.270757189615577,28.286112037457688,-2.5778572465500895,False
ES,RTH,B1,1h,E1_d_model_L1-10,0.07279022684700999,1.8345580981979843,-0.7338739047407823,-3.6027849909469625,1.2761247782356995,43.449693255872454,-2.86891108620618,False
ES,RTH,B1,1h,E1_d_model_L1-5,0.07204708782436313,1.3589555211180093,-0.836212796424708,-3.909701327713703,1.2724451738697513,14.3641558262013,-3.073488531288995,False
ES,RTH,B1,1h,E2,0.06301429761124748,0.5465805053720347,-0.5024190406007196,-3.956582204257251,1.2123255346030426,3.6402703301185984,-3.4541631636565313,False
ES,RTH,B1,1h,E4,0.1101338873393209,1.666417028613,-0.6423270217870859,2.464866800893817,1.4605570783032467,2157.7606800981507,3.1071938226809026,False
ES,RTH,B1,1h,E4_asS05,0.17273201487797538,1.666417028613,2.464866800893817,2.464866800893817,1.70297867185201,2157.7606800981507,0.0,False
ES,RTH,B1,30min,E1_a_exp_L1-10,0.0685300527342047,1.2620667509695638,-0.4464946817209782,-0.4534018121879804,1.2175980875118217,66.67194000909616,-0.006907130467002198,True
ES,RTH,B1,30min,E1_a_exp_L1-5,0.06803116155231424,1.1451707886830986,-0.7555794532475834,-0.39996699055008217,1.2105217993538426,57.211633628657324,0.3556124626975012,False
ES,RTH,B1,30min,E1_d_model_L1-10,0.04422544502253816,1.0692331043798033,-2.663730658123659,-0.4153486700947291,1.1174617321527613,55.61091491353358,2.24838198802893,True
ES,RTH,B1,30min,E1_d_model_L1-5,0.005431282727418036,1.1127882705434138,,-0.393852068999616,1.0109218853018267,53.12789137616738,,False
