root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M1_EWMA,15794,2018-12-05,20,1200,14:00,False,0.0,4.4781608074383755e-06
ES,GLOBEX,B0,1h,M1_EWMA,15795,2018-12-05,21,1260,15:00,False,0.0,4.209471158992073e-06
ES,GLOBEX,B0,1h,M1_EWMA,16387,2019-01-21,19,1140,13:00,False,0.0,1.5238744377670437e-06
ES,GLOBEX,B0,1h,M1_EWMA,16388,2019-01-21,20,1200,14:00,False,0.0,1.432441971501021e-06
ES,GLOBEX,B0,1h,M1_EWMA,16389,2019-01-21,21,1260,15:00,False,0.0,1.3464954532109596e-06
ES,GLOBEX,B0,1h,M1_EWMA,16827,2019-02-18,19,1140,13:00,False,0.0,1.1398759779180858e-06
ES,GLOBEX,B0,1h,M1_EWMA,16828,2019-02-18,20,1200,14:00,False,0.0,1.0714834192430005e-06
ES,GLOBEX,B0,1h,M1_EWMA,16829,2019-02-18,21,1260,15:00,False,0.0,1.0071944140884204e-06
ES,GLOBEX,B0,1h,M1_EWMA,16964,2019-02-27,2,120,20:00,True,0.0,1.6346925899443953e-06
ES,GLOBEX,B0,1h,M1_EWMA,16965,2019-02-27,3,180,21:00,True,0.0,1.5366110345477314e-06
ES,GLOBEX,B0,1h,M1_EWMA,18279,2019-05-27,19,1140,13:00,False,0.0,1.1642890911660792e-06
ES,GLOBEX,B0,1h,M1_EWMA,18280,2019-05-27,20,1200,14:00,False,0.0,1.0944317456961145e-06
ES,GLOBEX,B0,1h,M1_EWMA,18281,2019-05-27,21,1260,15:00,False,0.0,1.0287658409543475e-06
ES,GLOBEX,B0,1h,M1_EWMA,18807,2019-07-04,19,1140,13:00,False,0.0,5.664636801542506e-07
ES,GLOBEX,B0,1h,M1_EWMA,18808,2019-07-04,20,1200,14:00,False,0.0,5.324758593449955e-07
ES,GLOBEX,B0,1h,M1_EWMA,18809,2019-07-04,21,1260,15:00,False,0.0,5.005273077842958e-07
ES,GLOBEX,B0,1h,M1_EWMA,19731,2019-09-02,19,1140,13:00,False,0.0,3.96762270700922e-06
ES,GLOBEX,B0,1h,M1_EWMA,19732,2019-09-02,20,1200,14:00,False,0.0,3.7295653445886666e-06
ES,GLOBEX,B0,1h,M1_EWMA,19733,2019-09-02,21,1260,15:00,False,0.0,3.5057914239133466e-06
ES,GLOBEX,B0,1h,M1_EWMA,21051,2019-11-28,19,1140,13:00,False,0.0,3.9088742402758395e-07
ES,GLOBEX,B0,1h,M1_EWMA,21052,2019-11-28,20,1200,14:00,False,0.0,3.6743417858592886e-07
ES,GLOBEX,B0,1h,M1_EWMA,21053,2019-11-28,21,1260,15:00,False,0.0,3.453881278707731e-07
ES,GLOBEX,B0,1h,M1_EWMA,21711,2020-01-20,19,1140,13:00,False,0.0,3.4044898228548914e-07
ES,GLOBEX,B0,1h,M1_EWMA,21712,2020-01-20,20,1200,14:00,False,0.0,3.200220433483598e-07
ES,GLOBEX,B0,1h,M1_EWMA,21713,2020-01-20,21,1260,15:00,False,0.0,3.0082072074745817e-07
ES,GLOBEX,B0,1h,M1_EWMA,22151,2020-02-17,19,1140,13:00,False,0.0,4.94705836020879e-07
ES,GLOBEX,B0,1h,M1_EWMA,22152,2020-02-17,20,1200,14:00,False,0.0,4.6502348585962627e-07
