root,geom,range,rule,quarter,te
NQ,GLOBEX,restricted_S05,R2,2025Q3,0.34294517855441964
NQ,GLOBEX,restricted_S05,R2,2025Q4,0.40640032044113955
NQ,GLOBEX,restricted_S05,R2,2026Q1,0.30923384694498623
NQ,GLOBEX,restricted_S05,R2,2026Q2,0.3424504414978493
NQ,GLOBEX,restricted_S05,R2,2026Q3,0.23628648918863557
NQ,GLOBEX,restricted_S05,R3,2024Q1,0.2976014083819665
NQ,GLOBEX,restricted_S05,R3,2024Q2,0.37451887166011283
NQ,GLOBEX,restricted_S05,R3,2024Q3,0.3562415237100056
NQ,GLOBEX,restricted_S05,R3,2024Q4,0.2994256646752368
NQ,GLOBEX,restricted_S05,R3,2025Q1,0.37603991136755505
NQ,GLOBEX,restricted_S05,R3,2025Q2,0.346591856570384
NQ,GLOBEX,restricted_S05,R3,2025Q3,0.35542877545605045
NQ,GLOBEX,restricted_S05,R3,2025Q4,0.40351497426310473
NQ,GLOBEX,restricted_S05,R3,2026Q1,0.3014478656005799
NQ,GLOBEX,restricted_S05,R3,2026Q2,0.33410318565701963
NQ,GLOBEX,restricted_S05,R3,2026Q3,0.22729267894878305
NQ,GLOBEX,extended,R1,2024Q1,0.296998166061964
NQ,GLOBEX,extended,R1,2024Q2,0.37511841975385674
NQ,GLOBEX,extended,R1,2024Q3,0.35986913232477324
NQ,GLOBEX,extended,R1,2024Q4,0.2980682219184833
NQ,GLOBEX,extended,R1,2025Q1,0.38391945357785556
NQ,GLOBEX,extended,R1,2025Q2,0.3586415593938077
NQ,GLOBEX,extended,R1,2025Q3,0.34233889608919943
NQ,GLOBEX,extended,R1,2025Q4,0.4066251868352764
NQ,GLOBEX,extended,R1,2026Q1,0.30980899029146
NQ,GLOBEX,extended,R1,2026Q2,0.34303707669718553
NQ,GLOBEX,extended,R1,2026Q3,0.23699878549027156
NQ,GLOBEX,extended,R2,2024Q1,0.2970032625290813
NQ,GLOBEX,extended,R2,2024Q2,0.3750463368250098
NQ,GLOBEX,extended,R2,2024Q3,0.35953003638428693
NQ,GLOBEX,extended,R2,2024Q4,0.2980806238540047
NQ,GLOBEX,extended,R2,2025Q1,0.38341618089027946
NQ,GLOBEX,extended,R2,2025Q2,0.35760162179363075
NQ,GLOBEX,extended,R2,2025Q3,0.3428871553124733
NQ,GLOBEX,extended,R2,2025Q4,0.4064214624776647
NQ,GLOBEX,extended,R2,2026Q1,0.3092880257804813
NQ,GLOBEX,extended,R2,2026Q2,0.34250578713154384
NQ,GLOBEX,extended,R2,2026Q3,0.23635346991973155
NQ,GLOBEX,extended,R3,2024Q1,0.29711664722226594
NQ,GLOBEX,extended,R3,2024Q2,0.37462053479879137
NQ,GLOBEX,extended,R3,2024Q3,0.3574033832453966
NQ,GLOBEX,extended,R3,2024Q4,0.29834031105245146
NQ,GLOBEX,extended,R3,2025Q1,0.3798894395989777
NQ,GLOBEX,extended,R3,2025Q2,0.35091252321422345
NQ,GLOBEX,extended,R3,2025Q3,0.3473922060063303
NQ,GLOBEX,extended,R3,2025Q4,0.4050074100836648
NQ,GLOBEX,extended,R3,2026Q1,0.3056051908056776
NQ,GLOBEX,extended,R3,2026Q2,0.3386911019709692
NQ,GLOBEX,extended,R3,2026Q3,0.23187881889519021
ES,RTH,restricted_S05,R1,2024Q1,0.3453690119318173
ES,RTH,restricted_S05,R1,2024Q2,0.3260449574858254
ES,RTH,restricted_S05,R1,2024Q3,0.3362778123450487
ES,RTH,restricted_S05,R1,2024Q4,0.36782552973821053
ES,RTH,restricted_S05,R1,2025Q1,0.38447176314600345
ES,RTH,restricted_S05,R1,2025Q2,0.4164843217701588
ES,RTH,restricted_S05,R1,2025Q3,0.44198535197703126
ES,RTH,restricted_S05,R1,2025Q4,0.4385983707244186
ES,RTH,restricted_S05,R1,2026Q1,0.33300390532054774
ES,RTH,restricted_S05,R1,2026Q2,0.3659679200424885
ES,RTH,restricted_S05,R1,2026Q3,0.3807905953192906
ES,RTH,restricted_S05,R2,2024Q1,0.34564560441418357
ES,RTH,restricted_S05,R2,2024Q2,0.324789799868466
ES,RTH,restricted_S05,R2,2024Q3,0.3330788864489415
ES,RTH,restricted_S05,R2,2024Q4,0.3680652873437432
ES,RTH,restricted_S05,R2,2025Q1,0.38104564037239985
ES,RTH,restricted_S05,R2,2025Q2,0.4064947566931252
ES,RTH,restricted_S05,R2,2025Q3,0.44260282462643363
ES,RTH,restricted_S05,R2,2025Q4,0.43600467981586916
ES,RTH,restricted_S05,R2,2026Q1,0.33093381473802774
ES,RTH,restricted_S05,R2,2026Q2,0.36252579433355314
ES,RTH,restricted_S05,R2,2026Q3,0.3784536791493082
ES,RTH,restricted_S05,R3,2024Q1,0.35537317241141925
ES,RTH,restricted_S05,R3,2024Q2,0.3353791816401896
ES,RTH,restricted_S05,R3,2024Q3,0.3558223746138207
ES,RTH,restricted_S05,R3,2024Q4,0.3953998292097759
ES,RTH,restricted_S05,R3,2025Q1,0.4274842667823035
ES,RTH,restricted_S05,R3,2025Q2,0.5225806503293504
ES,RTH,restricted_S05,R3,2025Q3,0.4554385489564751
ES,RTH,restricted_S05,R3,2025Q4,0.4362139790636053
ES,RTH,restricted_S05,R3,2026Q1,0.3521219703847216
ES,RTH,restricted_S05,R3,2026Q2,0.3662901917328609
ES,RTH,restricted_S05,R3,2026Q3,0.36361709315871754
ES,RTH,extended,R1,2024Q1,0.3453690119318173
ES,RTH,extended,R1,2024Q2,0.3260449574858254
ES,RTH,extended,R1,2024Q3,0.3362778123450487
ES,RTH,extended,R1,2024Q4,0.36782552973821053
ES,RTH,extended,R1,2025Q1,0.38447176314600345
ES,RTH,extended,R1,2025Q2,0.4164843217701588
ES,RTH,extended,R1,2025Q3,0.44198535197703126
ES,RTH,extended,R1,2025Q4,0.4385983707244186
ES,RTH,extended,R1,2026Q1,0.33300390532054774
ES,RTH,extended,R1,2026Q2,0.3659679200424885
ES,RTH,extended,R1,2026Q3,0.3807905953192906
ES,RTH,extended,R2,2024Q1,0.34547403206365207
ES,RTH,extended,R2,2024Q2,0.32546398227862916
ES,RTH,extended,R2,2024Q3,0.3348069002502735
ES,RTH,extended,R2,2024Q4,0.36787905924871567
ES,RTH,extended,R2,2025Q1,0.38285074128754537
ES,RTH,extended,R2,2025Q2,0.41179959121195353
ES,RTH,extended,R2,2025Q3,0.4422368863037146
ES,RTH,extended,R2,2025Q4,0.43744011361737806
ES,RTH,extended,R2,2026Q1,0.3320386051445088
ES,RTH,extended,R2,2026Q2,0.36442567337823795
ES,RTH,extended,R2,2026Q3,0.3797748705807874
ES,RTH,extended,R3,2024Q1,0.34646910640679734
ES,RTH,extended,R3,2024Q2,0.32343555458022516
ES,RTH,extended,R3,2024Q3,0.32943288583825775
ES,RTH,extended,R3,2024Q4,0.3696303787624438
ES,RTH,extended,R3,2025Q1,0.3781911110788169
ES,RTH,extended,R3,2025Q2,0.3975175693524654
ES,RTH,extended,R3,2025Q3,0.4440527170198779
ES,RTH,extended,R3,2025Q4,0.43224202933250583
ES,RTH,extended,R3,2026Q1,0.32887248917978806
ES,RTH,extended,R3,2026Q2,0.3576636366855597
ES,RTH,extended,R3,2026Q3,0.3744209543404123
NQ,RTH,restricted_S05,R1,2024Q1,0.2795765834786024
NQ,RTH,restricted_S05,R1,2024Q2,0.288423185252423
NQ,RTH,restricted_S05,R1,2024Q3,0.30513481078928256
NQ,RTH,restricted_S05,R1,2024Q4,0.2917070482870186
NQ,RTH,restricted_S05,R1,2025Q1,0.351902423133159
NQ,RTH,restricted_S05,R1,2025Q2,0.3981036515839645
NQ,RTH,restricted_S05,R1,2025Q3,0.3801305362898958
NQ,RTH,restricted_S05,R1,2025Q4,0.4204281143940203
NQ,RTH,restricted_S05,R1,2026Q1,0.3109942927650425
NQ,RTH,restricted_S05,R1,2026Q2,0.3215118366379752
NQ,RTH,restricted_S05,R1,2026Q3,0.28729028386218447
NQ,RTH,restricted_S05,R2,2024Q1,0.2795293555577629
NQ,RTH,restricted_S05,R2,2024Q2,0.288066374950538
NQ,RTH,restricted_S05,R2,2024Q3,0.3033707297162121
NQ,RTH,restricted_S05,R2,2024Q4,0.29151747254274624
NQ,RTH,restricted_S05,R2,2025Q1,0.35029088710060863
NQ,RTH,restricted_S05,R2,2025Q2,0.39382658849796187
NQ,RTH,restricted_S05,R2,2025Q3,0.38190978513840695
NQ,RTH,restricted_S05,R2,2025Q4,0.41971281281626216
NQ,RTH,restricted_S05,R2,2026Q1,0.3097006912019437
NQ,RTH,restricted_S05,R2,2026Q2,0.3200676614570593
NQ,RTH,restricted_S05,R2,2026Q3,0.2846438639516225
NQ,RTH,restricted_S05,R3,2024Q1,0.27954109157411383
NQ,RTH,restricted_S05,R3,2024Q2,0.287306264542948
NQ,RTH,restricted_S05,R3,2024Q3,0.29934656833616086
NQ,RTH,restricted_S05,R3,2024Q4,0.29131365711220364
NQ,RTH,restricted_S05,R3,2025Q1,0.34687678170857833
NQ,RTH,restricted_S05,R3,2025Q2,0.38414390537007853
NQ,RTH,restricted_S05,R3,2025Q3,0.38766936787905304
NQ,RTH,restricted_S05,R3,2025Q4,0.4179696895687373
NQ,RTH,restricted_S05,R3,2026Q1,0.30635632675125357
NQ,RTH,restricted_S05,R3,2026Q2,0.31682453122428716
NQ,RTH,restricted_S05,R3,2026Q3,0.27732557853312767
NQ,RTH,extended,R1,2024Q1,0.2795765834786024
NQ,RTH,extended,R1,2024Q2,0.288423185252423
NQ,RTH,extended,R1,2024Q3,0.30513481078928256
NQ,RTH,extended,R1,2024Q4,0.2917070482870186
NQ,RTH,extended,R1,2025Q1,0.351902423133159
NQ,RTH,extended,R1,2025Q2,0.3981036515839645
NQ,RTH,extended,R1,2025Q3,0.3801305362898958
NQ,RTH,extended,R1,2025Q4,0.4204281143940203
NQ,RTH,extended,R1,2026Q1,0.3109942927650425
NQ,RTH,extended,R1,2026Q2,0.3215118366379752
NQ,RTH,extended,R1,2026Q3,0.28729028386218447
NQ,RTH,extended,R2,2024Q1,0.2795306013131715
NQ,RTH,extended,R2,2024Q2,0.2880780401074754
NQ,RTH,extended,R2,2024Q3,0.3034291555184368
NQ,RTH,extended,R2,2024Q4,0.2915231395772944
NQ,RTH,extended,R2,2025Q1,0.3503435608571706
NQ,RTH,extended,R2,2025Q2,0.3939681829963359
NQ,RTH,extended,R2,2025Q3,0.3818464005097689
NQ,RTH,extended,R2,2025Q4,0.4197367797860323
NQ,RTH,extended,R2,2026Q1,0.30974455474780255
NQ,RTH,extended,R2,2026Q2,0.32011534608742537
NQ,RTH,extended,R2,2026Q3,0.2847348860612883
NQ,RTH,extended,R3,2024Q1,0.27950640827185497
NQ,RTH,extended,R3,2024Q2,0.2875707470511576
NQ,RTH,extended,R3,2024Q3,0.3008165874724378
NQ,RTH,extended,R3,2024Q4,0.29133007904532504
NQ,RTH,extended,R3,2025Q1,0.34805739635199795
NQ,RTH,extended,R3,2025Q2,0.38765413865615334
NQ,RTH,extended,R3,2025Q3,0.3851282334679046
NQ,RTH,extended,R3,2025Q4,0.41863597740560277
NQ,RTH,extended,R3,2026Q1,0.30767975627666855
NQ,RTH,extended,R3,2026Q2,0.317996747751999
NQ,RTH,extended,R3,2026Q3,0.2803271758411366
