arm,root,geom,range,rule,te_mean,te_sd,turnover_mean,turnover_sd,cost_0.5t,cost_1.0t,cost_2.0t,cost_4.0t,lam_in_unit,n_seeds
A2,ES,GLOBEX,extended,R0,3.828260738550847e-17,9.310476823834574e-18,0.004078974493806696,8.81994603999804e-05,0.003128402603587041,0.006256805207174082,0.012513610414348165,0.02502722082869633,True,5
A2,ES,GLOBEX,extended,R1,0.580778221514182,0.011887310392163269,8.785299822587911e-05,3.331326429781773e-05,6.737957023268229e-05,0.00013475914046536457,0.00026951828093072915,0.0005390365618614583,True,5
A2,ES,GLOBEX,extended,R2,0.5798849495085132,0.011837546904783633,8.740144973601382e-05,3.314224596391822e-05,6.703325145243858e-05,0.00013406650290487715,0.0002681330058097543,0.0005362660116195086,True,5
A2,ES,GLOBEX,extended,R3,0.5601908057101929,0.010602311887084518,7.609432881950771e-05,2.886101915407956e-05,5.836116326753324e-05,0.00011672232653506648,0.00023344465307013296,0.0004668893061402659,True,5
A2,ES,GLOBEX,restricted_S05,R0,3.828260738550847e-17,9.310476823834574e-18,0.004078974493806696,8.81994603999804e-05,0.003128402603587041,0.006256805207174082,0.012513610414348165,0.02502722082869633,True,5
A2,ES,GLOBEX,restricted_S05,R1,0.580778221514182,0.011887310392163269,8.785299822587911e-05,3.331326429781773e-05,6.737957023268229e-05,0.00013475914046536457,0.00026951828093072915,0.0005390365618614583,True,5
A2,ES,GLOBEX,restricted_S05,R2,0.5807790597455382,0.011887356879235788,8.785341986338512e-05,3.3313423990333414e-05,6.737989361099062e-05,0.00013475978722198123,0.00026951957444396247,0.0005390391488879249,False,5
A2,ES,GLOBEX,restricted_S05,R3,27.734187867439754,0.2252884882384049,13882631.533634912,26460099.135218617,10647396.962252546,21294793.924505092,42589587.849010184,85179175.69802037,False,5
A2,ES,RTH,extended,R0,4.420449296406058e-17,6.876246540152967e-18,0.004191139987637557,9.698629174082073e-05,0.0032154988304159892,0.0064309976608319785,0.012861995321663957,0.025723990643327914,True,5
A2,ES,RTH,extended,R1,0.5976725025883591,0.010886431872947622,6.733779105894912e-05,2.7979125205023196e-05,5.166245676153059e-05,0.00010332491352306118,0.00020664982704612236,0.0004132996540922447,True,5
A2,ES,RTH,extended,R2,0.5943945590933446,0.010761575153474203,6.61987980084894e-05,2.749776973179864e-05,5.078860601151793e-05,0.00010157721202303585,0.0002031544240460717,0.0004063088480921434,True,5
A2,ES,RTH,extended,R3,0.5765661045659393,0.009994242562041187,5.919200725166091e-05,2.4546037334942658e-05,4.5412902133812e-05,9.0825804267624e-05,0.000181651608535248,0.000363303217070496,True,5
A2,ES,RTH,restricted_S05,R0,4.420449296406058e-17,6.876246540152967e-18,0.004191139987637557,9.698629174082073e-05,0.0032154988304159892,0.0064309976608319785,0.012861995321663957,0.025723990643327914,True,5
A2,ES,RTH,restricted_S05,R1,0.5976725025883591,0.010886431872947622,6.733779105894912e-05,2.7979125205023196e-05,5.166245676153059e-05,0.00010332491352306118,0.00020664982704612236,0.0004132996540922447,True,5
A2,ES,RTH,restricted_S05,R2,0.5900864559789156,0.010590867633414672,6.463887522665095e-05,2.683925869870266e-05,4.959181232404003e-05,9.918362464808006e-05,0.00019836724929616012,0.00039673449859232025,True,5
A2,ES,RTH,restricted_S05,R3,0.5329667329335843,0.006482968423689817,2.813670773409284e-05,1.1603537815669204e-05,2.1586859679609455e-05,4.317371935921891e-05,8.634743871843782e-05,0.00017269487743687564,True,5
A2,NQ,GLOBEX,extended,R0,2.3457790692236942e-17,1.494401930181727e-17,0.004205746690288556,9.262544036960897e-05,0.0010944553743278246,0.0021889107486556493,0.0043778214973112985,0.008755642994622597,True,5
A2,NQ,GLOBEX,extended,R1,0.5985265509529004,0.012191543394486842,8.500209757179146e-05,3.079673580080942e-05,2.2119972829415094e-05,4.423994565883019e-05,8.847989131766038e-05,0.00017695978263532075,True,5
A2,NQ,GLOBEX,extended,R2,0.5976131428314974,0.012145852156737823,8.459330557104486e-05,3.0648519217439804e-05,2.2013593478696597e-05,4.4027186957393194e-05,8.805437391478639e-05,0.00017610874782957278,True,5
A2,NQ,GLOBEX,extended,R3,0.5904601619630554,0.011771381564147941,8.124847799017432e-05,2.943613648601373e-05,2.114317383822307e-05,4.228634767644614e-05,8.457269535289228e-05,0.00016914539070578456,True,5
A2,NQ,GLOBEX,restricted_S05,R0,2.3457790692236942e-17,1.494401930181727e-17,0.004205746690288556,9.262544036960897e-05,0.0010944553743278246,0.0021889107486556493,0.0043778214973112985,0.008755642994622597,True,5
A2,NQ,GLOBEX,restricted_S05,R1,0.5985265509529004,0.012191543394486842,8.500209757179146e-05,3.079673580080942e-05,2.2119972829415094e-05,4.423994565883019e-05,8.847989131766038e-05,0.00017695978263532075,True,5
A2,NQ,GLOBEX,restricted_S05,R2,0.5975170436818263,0.01214101852389103,8.45500678209741e-05,3.063284301382207e-05,2.2002341781572747e-05,4.4004683563145494e-05,8.800936712629099e-05,0.00017601873425258197,True,5
A2,NQ,GLOBEX,restricted_S05,R3,0.5790920093162005,0.011104639694021475,7.531986905414768e-05,2.728848817679014e-05,1.9600380515147988e-05,3.9200761030295976e-05,7.840152206059195e-05,0.0001568030441211839,True,5
A2,NQ,RTH,extended,R0,4.485648077671001e-17,8.856766659679019e-18,0.004133136583064691,9.49904122414683e-05,0.0010773913700692472,0.0021547827401384944,0.004309565480276989,0.008619130960553978,True,5
A2,NQ,RTH,extended,R1,0.5894964866685667,0.010641261028197268,6.707897178652314e-05,2.8051781405937958e-05,1.7485583615127145e-05,3.497116723025429e-05,6.994233446050858e-05,0.00013988466892101716,True,5
A2,NQ,RTH,extended,R2,0.5862452898503662,0.010517999373528927,6.5909311283162e-05,2.7554453776247458e-05,1.7180686327823436e-05,3.436137265564687e-05,6.872274531129374e-05,0.0001374454906225875,True,5
A2,NQ,RTH,extended,R3,0.580354085720429,0.01028301545426438,6.367850716395892e-05,2.6607223484914607e-05,1.6599179025066413e-05,3.3198358050132826e-05,6.639671610026565e-05,0.0001327934322005313,True,5
A2,NQ,RTH,restricted_S05,R0,4.485648077671001e-17,8.856766659679019e-18,0.004133136583064691,9.49904122414683e-05,0.0010773913700692472,0.0021547827401384944,0.004309565480276989,0.008619130960553978,True,5
A2,NQ,RTH,restricted_S05,R1,0.5894964866685667,0.010641261028197268,6.707897178652314e-05,2.8051781405937958e-05,1.7485583615127145e-05,3.497116723025429e-05,6.994233446050858e-05,0.00013988466892101716,True,5
A2,NQ,RTH,restricted_S05,R2,0.5861275101877872,0.010513453367375894,6.586615430745564e-05,2.7536112937057173e-05,1.7169436529456054e-05,3.433887305891211e-05,6.867774611782421e-05,0.00013735549223564843,True,5
A2,NQ,RTH,restricted_S05,R3,0.5760675993628481,0.010101200719151836,6.195488787441076e-05,2.587644720598563e-05,1.6149880408743617e-05,3.2299760817487234e-05,6.459952163497447e-05,0.00012919904326994894,True,5
A4p,ES,GLOBEX,extended,R0,3.03898349173443e-17,7.572339181917564e-18,0.004770759510126656,6.0727720925736436e-05,0.003658972738179412,0.007317945476358824,0.014635890952717648,0.029271781905435296,True,5
A4p,ES,GLOBEX,extended,R1,1.5577198534427823,0.3030442150976784,145.7720237545687,77.94716138192804,111.80103708330674,223.60207416661348,447.20414833322695,894.4082966664539,True,5
