cell,scheme,level,n_seeds,n_distinct,modal,modal_freq,s08_in_set,indeterminate
NQ/GLOBEX/B1/1h,S-B_q0.90,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,20,True,False
NQ/GLOBEX/B1/1h,S-B_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,20,True,False
NQ/RTH/B0/1day,S-A,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1day,S-A,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1day,S-B_q0.80,mcs75,20,2,M2_HAR|M3_HARJ|M4_HARQ,11,True,True
NQ/RTH/B0/1day,S-B_q0.80,mcs90,20,1,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/1day,S-B_q0.90,mcs75,20,2,M2_HAR|M3_HARJ,19,True,True
NQ/RTH/B0/1day,S-B_q0.90,mcs90,20,1,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,20,True,False
NQ/RTH/B0/1day,S-C_q0.80,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/1day,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/1day,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B0/1day,S-C_q0.90,mcs90,20,2,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,11,True,True
NQ/RTH/B0/1h,S-A,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-A,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-B_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-B_q0.80,mcs90,20,1,M1_EWMA|M2_HAR,20,True,False
NQ/RTH/B0/1h,S-B_q0.90,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-B_q0.90,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-C_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B0/1h,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/1h,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B0/1h,S-C_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-A,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-A,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-B_q0.80,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B0/30min,S-B_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-B_q0.90,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-B_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-C_q0.80,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B0/30min,S-C_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/1day,S-A,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1day,S-A,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1day,S-B_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1day,S-B_q0.80,mcs90,20,1,M1_EWMA|M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B1/1day,S-B_q0.90,mcs75,20,1,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,20,True,False
NQ/RTH/B1/1day,S-B_q0.90,mcs90,20,1,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,20,True,False
NQ/RTH/B1/1day,S-C_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1day,S-C_q0.80,mcs90,20,2,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,17,True,True
NQ/RTH/B1/1day,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B1/1day,S-C_q0.90,mcs90,20,3,M2_HAR|M3_HARJ|M6_GK|M6_PARK,10,True,True
NQ/RTH/B1/1h,S-A,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-A,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-B_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-B_q0.80,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-B_q0.90,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-B_q0.90,mcs90,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-C_q0.80,mcs75,20,1,M2_HAR,20,True,False
NQ/RTH/B1/1h,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/1h,S-C_q0.90,mcs75,20,2,M2_HAR|M3_HARJ|M4_HARQ,14,True,True
NQ/RTH/B1/1h,S-C_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-A,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-A,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-B_q0.80,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B1/30min,S-B_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-B_q0.90,mcs75,20,1,M2_HAR|M3_HARJ,20,True,False
NQ/RTH/B1/30min,S-B_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-C_q0.80,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
NQ/RTH/B1/30min,S-C_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,True,False
