root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B0,1h,S-D_q0.90,2214,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-D_q0.80,16110,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-D_q0.90,8055,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1day,S-D_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3114984500,"{""M4_HARQ"": 0.0003, ""M6_PARK"": 0.0003, ""M5_RGARCH"": 0.0003, ""M6_GK"": 0.0012, ""M1_EWMA"": 0.0036, ""M3_HARJ"": 0.0857, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-D_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,504314517,"{""M4_HARQ"": 0.0062, ""M3_HARJ"": 0.0062, ""M5_RGARCH"": 0.0062, ""M1_EWMA"": 0.0073, ""M6_PARK"": 0.0341, ""M6_GK"": 0.0341, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-D_q0.80,3597,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1h,S-D_q0.90,1799,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-D_q0.80,16616,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-D_q0.90,8308,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
ES,RTH,B0,1day,S-D_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,3946437921,"{""M4_HARQ"": 0.0074, ""M6_PARK"": 0.0074, ""M6_GK"": 0.0074, ""M1_EWMA"": 0.0301, ""M5_RGARCH"": 0.0301, ""M3_HARJ"": 0.4077, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-D_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,388655936,"{""M4_HARQ"": 0.2245, ""M1_EWMA"": 0.2245, ""M6_PARK"": 0.2245, ""M6_GK"": 0.2245, ""M5_RGARCH"": 0.2378, ""M3_HARJ"": 0.575, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-D_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3566020145,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.5327, ""M3_HARJ"": 0.5327, ""M4_HARQ"": 1.0}"
ES,RTH,B0,1h,S-D_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1819594128,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.6516, ""M3_HARJ"": 0.6516, ""M4_HARQ"": 1.0}"
ES,RTH,B0,30min,S-D_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M3_HARJ,M2_HAR|M3_HARJ|M4_HARQ,2743419318,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.1267, ""M2_HAR"": 0.1267, ""M3_HARJ"": 1.0}"
ES,RTH,B0,30min,S-D_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M3_HARJ,M3_HARJ,4014726827,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0237, ""M2_HAR"": 0.0237, ""M3_HARJ"": 1.0}"
ES,RTH,B1,1day,S-D_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,1448626741,"{""M4_HARQ"": 0.0078, ""M6_PARK"": 0.0078, ""M6_GK"": 0.0078, ""M1_EWMA"": 0.0089, ""M5_RGARCH"": 0.0089, ""M3_HARJ"": 0.761, ""M2_HAR"": 1.0}"
ES,RTH,B1,1day,S-D_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,4117647855,"{""M4_HARQ"": 0.2303, ""M1_EWMA"": 0.2447, ""M6_PARK"": 0.2447, ""M6_GK"": 0.2447, ""M5_RGARCH"": 0.2447, ""M3_HARJ"": 0.9445, ""M2_HAR"": 1.0}"
