root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
ES,GLOBEX,B0,1day,A2,extended,R3,3,1168436609,0.8272250642225776,True,0.5649280485672795,9.531198963459688e-05,7.310030425016543e-05,0.00014620060850033086,0.0002924012170006617,0.0005848024340013234
ES,GLOBEX,B0,1day,A4p,restricted_S05,R0,3,1168436609,,True,2.8422618968763854e-17,0.004834023986652201,0.003707493942069653,0.007414987884139306,0.014829975768278611,0.029659951536557223
ES,GLOBEX,B0,1day,A4p,restricted_S05,R1,3,1168436609,,True,1.6722883631357854,156.18425469989262,119.78678213956024,239.5735642791205,479.147128558241,958.294257116482
ES,GLOBEX,B0,1day,A4p,restricted_S05,R2,3,1168436609,1.0000065365203092,False,1.6722986026509408,156.19835599367406,119.79759724130868,239.59519448261736,479.1903889652347,958.3807779304694
ES,GLOBEX,B0,1day,A4p,restricted_S05,R3,3,1168436609,-890.2105121888576,False,121.82712070337647,898615550.5352095,689200491.983115,1378400983.96623,2756801967.93246,5513603935.86492
ES,GLOBEX,B0,1day,A4p,extended,R0,3,1168436609,,True,2.8422618968763854e-17,0.004834023986652201,0.003707493942069653,0.007414987884139306,0.014829975768278611,0.029659951536557223
ES,GLOBEX,B0,1day,A4p,extended,R1,3,1168436609,,True,1.6722883631357854,156.18425469989262,119.78678213956024,239.5735642791205,479.147128558241,958.294257116482
ES,GLOBEX,B0,1day,A4p,extended,R2,3,1168436609,0.9930149647327526,True,1.661349968253145,141.82010345563523,108.77007972597991,217.54015945195982,435.08031890391965,870.1606378078393
ES,GLOBEX,B0,1day,A4p,extended,R3,3,1168436609,0.8272250642225776,True,1.4043296596973034,14.363571037509342,11.016257419304454,22.032514838608908,44.065029677217815,88.13005935443563
ES,GLOBEX,B0,1day,A2,restricted_S05,R0,4,2339113406,,True,4.0195653223788637e-17,0.0041393542849818684,0.0031747113746282076,0.006349422749256415,0.01269884549851283,0.02539769099702566
ES,GLOBEX,B0,1day,A2,restricted_S05,R1,4,2339113406,,True,0.5727705180253122,9.773815004039208e-05,7.496106767041573e-05,0.00014992213534083146,0.0002998442706816629,0.0005996885413633258
ES,GLOBEX,B0,1day,A2,restricted_S05,R2,4,2339113406,1.0000065365203092,False,0.5727713472675976,9.773864049616354e-05,7.496144382945147e-05,0.00014992288765890293,0.00029984577531780586,0.0005996915506356117
ES,GLOBEX,B0,1day,A2,restricted_S05,R3,4,2339113406,-890.2105121888576,False,28.13668186568444,60736287.32018379,46582188.653832294,93164377.30766459,186328754.61532918,372657509.23065835
ES,GLOBEX,B0,1day,A2,extended,R0,4,2339113406,,True,4.0195653223788637e-17,0.0041393542849818684,0.0031747113746282076,0.006349422749256415,0.01269884549851283,0.02539769099702566
ES,GLOBEX,B0,1day,A2,extended,R1,4,2339113406,,True,0.5727705180253122,9.773815004039208e-05,7.496106767041573e-05,0.00014992213534083146,0.0002998442706816629,0.0005996885413633258
ES,GLOBEX,B0,1day,A2,extended,R2,4,2339113406,0.9930149647327526,True,0.5718870034851747,9.721308517947848e-05,7.455836491254651e-05,0.00014911672982509302,0.00029823345965018604,0.0005964669193003721
ES,GLOBEX,B0,1day,A2,extended,R3,4,2339113406,0.8272250642225776,True,0.5525168214491255,8.417579432604149e-05,6.455930884795454e-05,0.00012911861769590908,0.00025823723539181815,0.0005164744707836363
ES,GLOBEX,B0,1day,A4p,restricted_S05,R0,4,2339113406,,True,2.0097826611894318e-17,0.004709665574691405,0.0036121162484001267,0.007224232496800253,0.014448464993600507,0.028896929987201014
ES,GLOBEX,B0,1day,A4p,restricted_S05,R1,4,2339113406,,True,1.2947889303230884,60.738599254033744,46.58396181026818,93.16792362053636,186.3358472410727,372.6716944821454
ES,GLOBEX,B0,1day,A4p,restricted_S05,R2,4,2339113406,1.0000065365203092,False,1.2947963603668313,60.7440836018152,46.58816807532439,93.17633615064878,186.35267230129756,372.7053446025951
ES,GLOBEX,B0,1day,A4p,restricted_S05,R3,4,2339113406,-890.2105121888576,False,88.80622640411924,519799764.7992294,398664649.6590975,797329299.318195,1594658598.63639,3189317197.27278
ES,GLOBEX,B0,1day,A4p,extended,R0,4,2339113406,,True,2.0097826611894318e-17,0.004709665574691405,0.0036121162484001267,0.007224232496800253,0.014448464993600507,0.028896929987201014
ES,GLOBEX,B0,1day,A4p,extended,R1,4,2339113406,,True,1.2947889303230884,60.738599254033744,46.58396181026818,93.16792362053636,186.3358472410727,372.6716944821454
ES,GLOBEX,B0,1day,A4p,extended,R2,4,2339113406,0.9930149647327526,True,1.2868535087104027,55.15204415449892,42.299308021674165,84.59861604334833,169.19723208669666,338.3944641733933
ES,GLOBEX,B0,1day,A4p,extended,R3,4,2339113406,0.8272250642225776,True,1.1015768364625635,5.5848239580130645,4.283326075549454,8.566652151098909,17.133304302197818,34.266608604395635
NQ,GLOBEX,B0,1day,A2,restricted_S05,R0,0,3280325159,,True,2.8459072259323713e-17,0.0042270765840419855,0.0011000060217089872,0.0022000120434179744,0.004400024086835949,0.008800048173671898
NQ,GLOBEX,B0,1day,A2,restricted_S05,R1,0,3280325159,,True,0.6153832707137546,9.916543541272434e-05,2.5805677737469388e-05,5.1611355474938775e-05,0.00010322271094987755,0.0002064454218997551
NQ,GLOBEX,B0,1day,A2,restricted_S05,R2,0,3280325159,0.9926414064188587,True,0.6142888704184546,9.865668029134486e-05,2.5673285128543056e-05,5.134657025708611e-05,0.00010269314051417223,0.00020538628102834445
NQ,GLOBEX,B0,1day,A2,restricted_S05,R3,0,3280325159,0.8496344690820835,True,0.5942077866154452,8.820641979264828e-05,2.295382896340261e-05,4.590765792680522e-05,9.181531585361044e-05,0.00018363063170722088
NQ,GLOBEX,B0,1day,A2,extended,R0,0,3280325159,,True,2.8459072259323713e-17,0.0042270765840419855,0.0011000060217089872,0.0022000120434179744,0.004400024086835949,0.008800048173671898
NQ,GLOBEX,B0,1day,A2,extended,R1,0,3280325159,,True,0.6153832707137546,9.916543541272434e-05,2.5805677737469388e-05,5.1611355474938775e-05,0.00010322271094987755,0.0002064454218997551
NQ,GLOBEX,B0,1day,A2,extended,R2,0,3280325159,0.9933437324775314,True,0.614393073804723,9.87053569395199e-05,2.568595218224899e-05,5.137190436449798e-05,0.00010274380872899596,0.00020548761745799193
NQ,GLOBEX,B0,1day,A2,extended,R3,0,3280325159,0.9399469453085768,True,0.6066229639034275,9.493187639239254e-05,2.470398480074659e-05,4.940796960149318e-05,9.881593920298636e-05,0.00019763187840597272
