root,geom,btag,horizon,range,candidate,n_oos,ic_oos,r2_oos,r2_oos_corr_theory,r2_oos_corr_measured,keep_oos_raw,keep_oos_measured,r2_is,r2_is_corr_measured,keep_is_raw,keep_is_measured,partition_is,degradation_r2
ES,GLOBEX,B0,1day,restricted_S05,RS_up,640,0.6229831008883907,0.3881079439925148,0.38810540713363895,-0.0004359732205792892,True,False,0.665699345805895,-0.0007477999155155,True,False,raw_only,0.27759140181338016
ES,GLOBEX,B0,1day,restricted_S05,RS_down,640,0.6739289748834271,0.4541802631874269,0.4541772944483177,-0.0005101942259372835,True,False,0.6963818227416417,-0.0007822664563119,True,False,raw_only,0.24220155955421485
ES,GLOBEX,B0,1day,restricted_S05,JumpVar,640,-0.07294245928723773,0.005320602366870334,0.005320567588872233,-5.976791212887376e-06,False,False,0.0131726394956029,-1.479721854015628e-05,False,False,clears_neither,0.007852037128732565
ES,GLOBEX,B0,1day,restricted_S05,Parkinson,640,0.5629362207250084,0.31689718860415533,0.3168951172127858,-0.0003559800567002581,True,False,0.6078829357285361,-0.0006828530189268,True,False,raw_only,0.2909857471243808
ES,GLOBEX,B0,1day,restricted_S05,GarmanKlass,640,0.5891420035952363,0.3470883004002094,0.3470860316653143,-0.00038989463239069776,True,False,0.6231336099315443,-0.0006999845557871,True,False,raw_only,0.27604530953133494
ES,GLOBEX,B0,1day,restricted_S05,VolumeSurprise,640,0.17250038668074108,0.029756383405005193,0.029756188903072103,-3.3426232332215364e-05,True,False,0.0338454853343652,-3.801964240025169e-05,True,False,raw_only,0.004089101929360003
ES,GLOBEX,B0,1day,restricted_S05,CrossLeadLag,640,0.6262055289036373,0.3921333644294842,0.3921308012585379,-0.0004404950953289724,True,False,0.4796640173969141,-0.0005388208865535,True,False,raw_only,0.0875306529674299
ES,GLOBEX,B0,1day,restricted_S05,RealizedQuarticity,640,0.5838247552069684,0.3408513447924766,0.34084911682530206,-0.00038288847427153856,True,False,0.6287327693406355,-0.0007062742584275,True,False,raw_only,0.2878814245481589
ES,GLOBEX,B0,1day,restricted_S05,SignatureSlope,640,0.0836702825768389,0.00700071618648807,0.00700067042646365,-7.864113140244375e-06,False,False,0.0038565038291776,-4.332125689793581e-06,False,False,clears_neither,-0.0031442123573104702
ES,GLOBEX,B0,1day,extended,RS_up,640,0.6229831008883907,0.3881079439925148,0.3908379609334137,0.46916850175140296,True,True,0.665699345805895,0.8047378816205433,True,True,clears_both,0.27759140181338016
ES,GLOBEX,B0,1day,extended,RS_down,640,0.6739289748834271,0.4541802631874269,0.4573750440001266,0.5490407421519118,True,True,0.6963818227416417,0.8418287269814513,True,True,clears_both,0.24220155955421485
ES,GLOBEX,B0,1day,extended,JumpVar,640,-0.07294245928723773,0.005320602366870334,0.0053580283840961584,0.006431867936533829,False,False,0.0131726394956029,0.015923888268524,False,False,clears_neither,0.007852037128732565
ES,GLOBEX,B0,1day,extended,Parkinson,640,0.5629362207250084,0.31689718860415533,0.3191262970437117,0.38308460697086577,True,True,0.6078829357285361,0.7348458865905155,True,True,clears_both,0.2909857471243808
ES,GLOBEX,B0,1day,extended,GarmanKlass,640,0.5891420035952363,0.3470883004002094,0.34952977822808573,0.41958146024794524,True,True,0.6231336099315443,0.7532818296761384,True,True,clears_both,0.27604530953133494
ES,GLOBEX,B0,1day,extended,VolumeSurprise,640,0.17250038668074108,0.029756383405005193,0.029965694840272065,0.03597132714174964,True,True,0.0338454853343652,0.0409144824041001,True,True,clears_both,0.004089101929360003
ES,GLOBEX,B0,1day,extended,CrossLeadLag,640,0.6262055289036373,0.3921333644294842,0.394891696858786,0.4740346749502923,True,True,0.4796640173969141,0.5798470551030755,True,True,clears_both,0.0875306529674299
ES,GLOBEX,B0,1day,extended,RealizedQuarticity,640,0.5838247552069684,0.3408513447924766,0.3432489508193957,0.412041848747423,True,True,0.6287327693406355,0.7600504343174318,True,True,clears_both,0.2878814245481589
ES,GLOBEX,B0,1day,extended,SignatureSlope,640,0.0836702825768389,0.00700071618648807,0.007049960408574662,0.00846289176823639,False,False,0.0038565038291776,0.0046619765236465,False,False,clears_neither,-0.0031442123573104702
ES,GLOBEX,B1,1day,restricted_S05,RS_up,640,0.624485475397515,0.3899821089824603,0.389979559873147,-0.0004380785259697381,True,False,0.6689165112518646,-0.0007514138533447,True,False,raw_only,0.2789344022694043
ES,GLOBEX,B1,1day,restricted_S05,RS_down,640,0.6773488707604646,0.45880149272047654,0.45879849377480414,-0.0005153853908019704,True,False,0.6962738431233481,-0.0007821451595885,True,False,raw_only,0.2374723504028715
ES,GLOBEX,B1,1day,restricted_S05,JumpVar,640,-0.04647395677817161,0.0021598286586193625,0.0021598145409477514,-2.4261999033338266e-06,False,False,0.0134475031915865,-1.5105981121837877e-05,False,False,clears_neither,0.011287674532967137
ES,GLOBEX,B1,1day,restricted_S05,Parkinson,640,0.5650875525228853,0.3193239420163047,0.31932185476251584,-0.00035870610113460485,True,False,0.6089520015295962,-0.0006840539324033,True,False,raw_only,0.28962805951329146
