root,geom,range,cost_0.5t_bps_R1,cost_0.5t_bps_R2,cost_0.5t_bps_R3,cost_1.0t_bps_R1,cost_1.0t_bps_R2,cost_1.0t_bps_R3,cost_2.0t_bps_R1,cost_2.0t_bps_R2,cost_2.0t_bps_R3,cost_4.0t_bps_R1,cost_4.0t_bps_R2,cost_4.0t_bps_R3,te_R1,te_R2,te_R3,turnover_R1,turnover_R2,turnover_R3,rel_te_diff_pct,r3_better,lam_R3_in_unit,rel_netcost_diff_pct_0.5t,rel_netcost_diff_pct_1.0t,rel_netcost_diff_pct_2.0t,rel_netcost_diff_pct_4.0t
ES,GLOBEX,extended,0.0302810320531374,0.0300890464066395,0.0254843241023791,0.0605620641062749,0.0601780928132791,0.0509686482047582,0.1211241282125498,0.1203561856265582,0.1019372964095164,0.2422482564250997,0.2407123712531165,0.2038745928190328,0.3779785949116744,0.3777189712802037,0.3754985498849764,0.0746447137192387,0.0741714566124172,0.0628205166063118,0.5878501118706441,True,True,15.3036498466243,15.303649846624436,15.303649846624436,15.303649846624474
ES,GLOBEX,restricted_S05,0.0302810320531374,0.0302812116429355,408908382.09381026,0.0605620641062749,0.060562423285871,817816764.1876205,0.1211241282125498,0.121124846571742,1635633528.375241,0.2422482564250997,0.242249693143484,3271267056.750482,0.3779785949116744,0.3779788440794512,106.09028506958812,0.0746447137192387,0.0746451564197727,1007985760.36734,27967.783880329538,False,False,1350369948485.618,1350369948485.618,1350369948485.618,1350369948485.618
ES,RTH,extended,0.0367902175566919,0.0360276529979494,0.0315168201730304,0.0735804351133839,0.0720553059958989,0.0630336403460609,0.1471608702267679,0.1441106119917978,0.1260672806921218,0.2943217404535359,0.2882212239835956,0.2521345613842437,0.378079489164797,0.3769060162374523,0.3731059051904795,0.0907094572329309,0.088829288486388,0.0777074407673206,1.0082383626847506,True,True,12.5204737182734,12.520473718273402,12.520473718273402,12.520473718273363
ES,RTH,restricted_S05,0.0367902175566919,0.0349974488275696,0.0140187277762009,0.0735804351133839,0.0699948976551392,0.0280374555524019,0.1471608702267679,0.1399897953102784,0.0560749111048038,0.2943217404535359,0.2799795906205568,0.1121498222096077,0.378079489164797,0.3755666471627612,0.4021548151643393,0.0907094572329309,0.0862892311738631,0.03456438347275,7.079480620134897,False,True,59.943572329313604,59.94357232931345,59.94357232931345,59.943572329313426
NQ,GLOBEX,extended,0.0063479899568291,0.0063103741819078,0.0060072264520548,0.0126959799136582,0.0126207483638157,0.0120144529041096,0.0253919598273164,0.0252414967276314,0.0240289058082193,0.0507839196546328,0.0504829934552628,0.0480578116164387,0.3445709093896194,0.3442882457100369,0.3424899098568932,0.0569466881947351,0.0566092437721366,0.0538897594367354,0.5223343740460671,True,True,4.803958071490308,4.803958071491066,4.803958071490668,4.8039580714904755
NQ,GLOBEX,restricted_S05,0.0063479899568291,0.0063064030253455,0.0054884167957162,0.0126959799136582,0.0126128060506911,0.0109768335914324,0.0253919598273164,0.0252256121013823,0.0219536671828648,0.0507839196546328,0.0504512242027647,0.0439073343657296,0.3445709093896194,0.3442591726858988,0.3413704251039635,0.0569466881947351,0.0565736192333359,0.0492356103386968,0.8391200035128733,True,True,12.970725567995025,12.970725567995705,12.970725567996054,12.970725567996222
NQ,RTH,extended,0.0076618304887108,0.0074987927964472,0.0071929575099036,0.0153236609774217,0.0149975855928945,0.0143859150198072,0.0306473219548434,0.0299951711857891,0.0287718300396144,0.0612946439096869,0.0599903423715782,0.0575436600792289,0.3357145186782714,0.3346620323613745,0.3331219121525727,0.0687365690851165,0.067273909265865,0.0645301695899285,0.46020165416874537,True,True,4.078460291481838,4.078460291482482,4.078460291482804,4.078460291482642
NQ,RTH,restricted_S05,0.0076618304887108,0.0074928134113992,0.0069609795205086,0.0153236609774217,0.0149856268227984,0.0139219590410173,0.0306473219548434,0.0299712536455969,0.0278439180820346,0.0612946439096869,0.0599425072911938,0.0556878361640692,0.3357145186782714,0.3346264994500665,0.3323287575337351,0.0687365690851165,0.0672202664171948,0.0624490257800038,0.6866586836689819,True,True,7.097919855864748,7.0979198558640775,7.097919855864379,7.097919855864379
