cell,root,geom,btag,horizon,quantile,level,status,bc_differs,dc_differs,s_b,s_c,s_d
ES/RTH/B0/30min,ES,RTH,B0,30min,0.8,mcs90,ok,True,False,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B0/30min,ES,RTH,B0,30min,0.9,mcs75,ok,True,True,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M3_HARJ
ES/RTH/B0/30min,ES,RTH,B0,30min,0.9,mcs90,ok,False,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M3_HARJ
ES/RTH/B1/1day,ES,RTH,B1,1day,0.8,mcs75,ok,True,False,M2_HAR,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ
ES/RTH/B1/1day,ES,RTH,B1,1day,0.8,mcs90,ok,False,False,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ
ES/RTH/B1/1day,ES,RTH,B1,1day,0.9,mcs75,ok,False,False,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ
ES/RTH/B1/1day,ES,RTH,B1,1day,0.9,mcs90,ok,True,False,M1_EWMA|M2_HAR|M3_HARJ|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK
ES/RTH/B1/1h,ES,RTH,B1,1h,0.8,mcs75,ok,True,True,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M4_HARQ
ES/RTH/B1/1h,ES,RTH,B1,1h,0.8,mcs90,ok,True,False,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B1/1h,ES,RTH,B1,1h,0.9,mcs75,ok,True,True,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M4_HARQ
ES/RTH/B1/1h,ES,RTH,B1,1h,0.9,mcs90,ok,False,False,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES/RTH/B1/30min,ES,RTH,B1,30min,0.8,mcs75,ok,True,True,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,M3_HARJ
