root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
ES,GLOBEX,B0,1day,restricted_S05,RS_up,1952,0.8159040052640353,0.665699345805895,1.0000065365203092,-890.2105121888576,0.6656949944770438,-0.0007477999155155643,0.8159013386905575,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,RS_down,1952,0.8344949506987096,0.6963818227416417,1.0000065365203092,-890.2105121888576,0.6963772708574679,-0.0007822664563119704,0.8344922233654835,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,Parkinson,1952,0.7796684780908717,0.6078829357285361,1.0000065365203092,-890.2105121888576,0.6078789623153534,-0.000682853018926802,0.7796659299439429,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,GarmanKlass,1952,0.789388123758867,0.6231336099315443,1.0000065365203092,-890.2105121888576,0.6231295368326715,-0.0006999845557871226,0.7893855438457633,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,VolumeSurprise,1952,0.18397142532025257,0.033845485334365266,1.0000065365203092,-890.2105121888576,0.033845264104109075,-3.801964240025169e-05,0.18397082405672122,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,CrossLeadLag,1952,0.6925778060239255,0.47966401739691417,1.0000065365203092,-890.2105121888576,0.47966088208381685,-0.000538820886553577,0.6925755425105747,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,RealizedQuarticity,1952,0.7929267112039016,0.6287327693406355,1.0000065365203092,-890.2105121888576,0.6287286596429827,-0.0007062742584275956,0.7929241197258302,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,RS_up,1952,0.8178731633033722,0.6689165112518646,1.0000065365203092,-890.2105121888576,0.6689121388940836,-0.0007514138533447855,0.8178704902942052,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,RS_down,1952,0.8344302506041761,0.6962738431233481,1.0000065365203092,-890.2105121888576,0.6962692919449806,-0.0007821451595885378,0.8344275234824056,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,Parkinson,1952,0.7803537669093398,0.6089520015295962,1.0000065365203092,-890.2105121888576,0.6089480211284888,-0.0006840539324033587,0.7803512165227199,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,GarmanKlass,1952,0.7901299648810017,0.6243053614028531,1.0000065365203092,-890.2105121888576,0.624301280644853,-0.000701300819137493,0.7901273825433801,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,VolumeSurprise,1952,0.18513271129785847,0.03427412079249621,1.0000065365203092,-890.2105121888576,0.03427389676047396,-3.850114138533671e-05,0.18513210623896104,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,CrossLeadLag,1952,0.6916888316176982,0.47843343978465647,1.0000065365203092,-890.2105121888576,0.4784303125152021,-0.000537438542045836,0.6916865710097329,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,RealizedQuarticity,1952,0.793314645862576,0.6293481273400644,1.0000065365203092,-890.2105121888576,0.6293440136201379,-0.0007069655084083624,0.7933120531166395,,True,True,False,-17.804210243777153,0.02,False,False
ES,RTH,B0,1h,extended,RS_up,11405,0.1129669691319784,0.01276153611486536,0.8529726155294435,0.588054052124918,0.014961249496789794,0.021701297812253623,0.12231618656903016,0.14731360362252233,False,False,True,0.01176108104249836,0.02,True,True
ES,RTH,B1,1day,restricted_S05,SignatureSlope,1900,0.13530987038579903,0.018308761023821733,0.9449916624649066,0.3466401547514712,0.01937452122706072,0.05281777305040863,0.13919238925695873,0.22982117624450676,False,False,True,0.006932803095029424,0.02,True,True
ES,RTH,B1,1day,extended,SignatureSlope,1900,0.13530987038579903,0.018308761023821733,0.9765359952651714,0.8397800078923314,0.018748680143480138,0.021801853880485694,0.13692581985688507,0.1476545085003695,False,False,True,0.01679560015784663,0.02,True,True
ES,RTH,B1,1h,extended,RS_up,11405,0.11321369524367404,0.012817340790727503,0.8529726155294435,0.588054052124918,0.015026673256997504,0.0217961950001235,0.12258333188895423,0.14763534468454192,False,False,True,0.01176108104249836,0.02,True,True
