range,partition_is,n,r2_is_mean,r2_oos_mean,degradation_mean,oos_clears_raw,oos_clears_measured
extended,clears_both,96,0.4792782406289479,0.31294247830670235,0.1663357623222456,95,96
extended,clears_neither,45,0.0033166629166128127,0.002650125660646541,0.0006665372559662714,0,0
extended,only_after_measured,3,0.014629212643138169,0.15962211227988501,-0.14499289963674686,2,2
restricted_S05,clears_both,42,0.5188832613288361,0.3367205336410195,0.18216272768781666,41,42
restricted_S05,clears_neither,15,0.005235701754735434,0.004091859266752293,0.0011438424879831404,0,0
restricted_S05,only_after_measured,1,0.0183087610238217,0.0022617828378990144,0.016046978185922687,0,0
restricted_S05,raw_only,14,0.5339888136788865,0.3252129792324567,0.2087758344464298,14,0
