root,geom,sample,split,n,both_high,spurious_high,spurious_low,both_low,empirical_rate,analytic_rate,lam_intercept,rate_gap_prop,n_episodes,mean_episode_duration,max_episode_duration,threshold_log_rv,threshold_log_kernel
ES,GLOBEX,insample,median,1953,946,30,30,947,0.030721966205837174,0.13645008632664657,0.8272250642225776,-0.7748483197563383,59,1.0169491525423728,2,-9.850127051897653,-9.894100379939529
ES,GLOBEX,holdout,median,641,288,8,12,333,0.031201248049921998,0.13645008632664657,0.8272250642225776,-0.7713358130442687,19,1.0526315789473684,2,-9.850127051897653,-9.894100379939529
NQ,GLOBEX,insample,median,1948,948,26,26,948,0.026694045174537988,0.07880676065922262,0.9399469453085768,-0.661272142754747,49,1.0612244897959184,3,-9.287319793935836,-9.296791809684446
NQ,GLOBEX,holdout,median,641,317,13,8,303,0.0327613104524181,0.07880676065922262,0.9399469453085768,-0.5842829957941673,20,1.05,2,-9.287319793935836,-9.296791809684446
ES,RTH,insample,median,1901,913,37,37,914,0.0389268805891636,0.13108535920670872,0.8397800078923314,-0.7030417368900845,66,1.121212121212121,3,-10.360474354167202,-10.401927081512444
ES,RTH,holdout,median,621,283,9,10,319,0.030595813204508857,0.13108535920670872,0.8397800078923314,-0.7665962591881655,18,1.0555555555555556,2,-10.360474354167202,-10.401927081512444
NQ,RTH,insample,median,1901,910,40,40,911,0.04208311415044713,0.08442711854744307,0.9312843759268288,-0.5015450618891026,75,1.0666666666666667,2,-9.718650357458982,-9.725321209309639
NQ,RTH,holdout,median,621,294,25,7,295,0.05152979066022544,0.08442711854744307,0.9312843759268288,-0.38965356692507835,31,1.032258064516129,2,-9.718650357458982,-9.725321209309639
