root,geom,M_five_min,excess_observed_5min,trigamma_at_5min,required_floor_5min,required_share_5min_target,M_coarsest,c,var_log_rv_at_Mmax,excess_observed,trigamma_at_Mmax,required_floor,required_share,measured_share_5min,measured_share_at_Mmax,ratio_required_to_measured_5min,ratio_at_coarsest,ratio_required_to_measured_coarse,floor_from_measured_5min,floor_from_measured_coarse
ES,GLOBEX,276,0.21594325348471388,0.007272695217222512,0.20867055826749137,0.3230097198750305,1379,1.033909620188399,1.0409288255129356,0.007019205324536593,0.001451378555092054,0.005567826769444539,0.05276280304080015,0.0045179748093637,0.0016825537497929,71.49436052754848,31.358762266759417,31.358762266759417,4.0824192756089926e-05,5.661974241884297e-06
NQ,GLOBEX,276,0.06934193528040788,0.007272695217222512,0.06206924006318537,0.17616645546639317,1379,1.0853359132503864,1.0748089412721487,-0.01052697197823771,0.001451378555092054,0.0,0.0,0.0040555707594004,0.0016528845578898,43.43814124264933,0.0,0.0,3.289530836900707e-05,5.4640547234211195e-06
ES,RTH,78,0.2062301478634856,0.025972566037214765,0.18025758182627083,0.300214574784662,389,1.0809384800522852,1.0896790432363515,0.008740563184066241,0.0051546277620026035,0.0035859354220636377,0.04234344944654154,0.0292807669461983,0.0084811019734617,10.252961452010078,4.992682505061117,4.992682505061117,0.0017147266259151578,0.0001438581813685119
NQ,RTH,78,0.07797485970395335,0.025972566037214765,0.052002293666738586,0.16124871110607145,389,1.0567722578646066,1.0465876249207384,-0.010184632943868177,0.0051546277620026035,0.0,0.0,0.0404379661510424,0.0133073414886527,3.9875573985046926,0.0,0.0,0.0032704582128657016,0.00035417067499123495
