root,geom,horizon,sample,mu_gap_threshold,n,share_retained,misclass,mean_separation
ES,RTH,30min,insample,0.0,22372,1.0,0.4883783300554264,1.827692008782961
ES,RTH,30min,insample,0.1,22372,1.0,0.4883783300554264,1.827692008782961
ES,RTH,30min,insample,0.25,22372,1.0,0.4883783300554264,1.827692008782961
ES,RTH,30min,insample,0.5,22372,1.0,0.4883783300554264,1.827692008782961
ES,RTH,30min,holdout,0.0,7453,1.0,0.47001207567422515,1.783734211501409
ES,RTH,30min,holdout,0.1,7453,1.0,0.47001207567422515,1.783734211501409
ES,RTH,30min,holdout,0.25,7453,1.0,0.47001207567422515,1.783734211501409
ES,RTH,30min,holdout,0.5,7453,1.0,0.47001207567422515,1.783734211501409
NQ,RTH,30min,insample,0.0,22372,1.0,0.4847577328803862,1.7086224134645949
NQ,RTH,30min,insample,0.1,20825,0.9308510638297872,0.483937575030012,1.8280721289391302
NQ,RTH,30min,insample,0.25,18473,0.8257196495619524,0.4811887619769393,2.0165304866361238
NQ,RTH,30min,insample,0.5,14619,0.6534507419989273,0.4780764758191395,2.351804608532472
NQ,RTH,30min,holdout,0.0,7453,1.0,0.26526231047900173,1.6680181295851042
NQ,RTH,30min,holdout,0.1,7233,0.9704816852274252,0.2600580671920365,1.7155324589471632
NQ,RTH,30min,holdout,0.25,6939,0.9310344827586207,0.2576740164288802,1.7729647507044508
NQ,RTH,30min,holdout,0.5,6392,0.8576412183013552,0.26564455569461826,1.8617246937680758
