root,geom,sample,n,min_mu_gap,share_gap_below_0p1,share_gap_below_0p25
ES,RTH,insample,22372,0.9244737438452371,0.0,0.0
ES,RTH,holdout,7453,0.8403142049801123,0.0,0.0
NQ,RTH,insample,22372,3.4264793574142254e-05,0.06914893617021277,0.17428035043804757
NQ,RTH,holdout,7453,0.00043565164035540976,0.029518314772574803,0.06896551724137931
