root,geom,horizon,scale,lam_range,lam,v_raw,n_windows,n_windows_binding,share_windows_binding,n_bind_total,states_differ_vs_A1,share_states_differ,mis_A4,mis_A1,reduction_pp,switches_A4,switches_A1,dur_A4,dur_A1
ES,GLOBEX,1day,0.25,extended,0.8272250642225776,0.05398581249502476,1513,0,0.0,0,0,0.0,0.026437541308658295,0.026437541308658295,0.0,70,70,21.309859154929576,21.309859154929576
ES,GLOBEX,1day,0.5,extended,0.8272250642225776,0.10797162499004952,1513,0,0.0,0,0,0.0,0.026437541308658295,0.026437541308658295,0.0,70,70,21.309859154929576,21.309859154929576
ES,GLOBEX,1day,0.75,extended,0.8272250642225776,0.16195743748507427,1513,0,0.0,0,0,0.0,0.026437541308658295,0.026437541308658295,0.0,70,70,21.309859154929576,21.309859154929576
ES,GLOBEX,1day,1.0,extended,0.8272250642225776,0.21594324998009903,1513,0,0.0,0,0,0.0,0.026437541308658295,0.026437541308658295,0.0,70,70,21.309859154929576,21.309859154929576
ES,RTH,1day,0.25,extended,0.8397800078923314,0.05155753685147586,1461,0,0.0,0,0,0.0,0.03559206023271732,0.03559206023271732,0.0,74,74,19.48,19.48
ES,RTH,1day,0.5,extended,0.8397800078923314,0.10311507370295173,1461,0,0.0,0,0,0.0,0.03559206023271732,0.03559206023271732,0.0,74,74,19.48,19.48
ES,RTH,1day,0.75,extended,0.8397800078923314,0.1546726105544276,1461,0,0.0,0,0,0.0,0.03559206023271732,0.03559206023271732,0.0,74,74,19.48,19.48
ES,RTH,1day,1.0,extended,0.8397800078923314,0.20623014740590345,1461,0,0.0,0,0,0.0,0.03559206023271732,0.03559206023271732,0.0,74,74,19.48,19.48
ES,RTH,1h,0.25,extended,0.588054052124918,0.18422673015901747,10966,0,0.0,0,0,0.0,0.0563560094838592,0.0563560094838592,0.0,992,992,11.04330312185297,11.04330312185297
ES,RTH,1h,0.5,extended,0.588054052124918,0.36845346031803494,10966,375,0.03419660769651651,375,4,0.0003647638154295094,0.05617362757614445,0.0563560094838592,0.018238190771475288,992,992,11.04330312185297,11.04330312185297
