root,geom,horizon,sample,n_windows,mu_lo_mean,mu_hi_mean,sd_lo_mean,sd_hi_mean,separation_mean,separation_median,share_separation_below_0p5,share_separation_below_1p0,mis,switches
ES,RTH,30min,insample,22372,-0.5996301064850795,0.7529935034391653,0.7643068644398751,0.7357171178052203,1.827692008782961,1.8121231211895803,0.0,4.469873055605221e-05,0.4883783300554264,2353
ES,RTH,30min,holdout,7453,-0.6124358953992967,0.7342632790883475,0.764949918777931,0.7602282745167611,1.783734211501409,1.7815529059362165,0.0,0.0022809606869716894,0.4700751476113795,669
NQ,RTH,30min,insample,22372,-0.4125847265286652,0.44790879196642797,0.5137808892207493,0.4938162903018984,1.7086224134645949,1.4926902025049604,0.17445914536027177,0.34690684784552117,0.4847577328803862,6384
NQ,RTH,30min,holdout,7453,-0.5258325478783947,0.5779671711280407,0.6606592114649418,0.683018835016178,1.6680181295851042,1.6973445310052255,0.07231987119280826,0.18663625385750704,0.26529790660225444,1345
