root,geom,n,cond_Sxx,min_eig_Sxx,v_fitted,var_err_measured,ratio_measured_to_fitted,rho_err_level,se_rho,t_rho,frac_level,frac_classical,rho_err_daily,rho_err_weekly,rho_err_monthly,b_d_naive,b_w_naive,b_m_naive,b_d_full,b_w_full,b_m_full,b_d_partial,b_w_partial,b_m_partial,b_d_measured,b_w_measured,b_m_measured,shift_full,shift_partial,shift_measured,cond_measured,min_eig_measured,cond_full,min_eig_full,cond_partial,min_eig_partial,rmse
ES,GLOBEX,1931,34.74330579148445,0.07959233765655059,0.17100859473971228,0.015613709708168323,0.09130365483637558,-0.36685513819926124,0.02106125049620185,-17.418487960409532,0.13458269242319906,0.8654173075768009,-0.19342963064456536,-0.18530434850923427,-0.1928177149398311,0.49835818045930885,0.34735987336644786,0.0883565924982017,1.0760319563182608,-0.16782559973776257,0.06278760757310986,0.9300139720217553,-0.027039376023376954,0.060129717455326886,0.5238824951228794,0.32847322634991744,0.08390734337709778,1.1591537944185895,0.8661557259170771,0.05121680683569041,35.724753652755155,0.07710399475727055,58.2991405979952,0.04544496945049669,52.152706165358055,0.0510945705283347,0.5807136055299486
NQ,GLOBEX,1926,33.25955848840708,0.07592154678932653,0.05393494114035343,0.014598495174909937,0.27066860306606566,-0.16945168936273217,0.02234097766729522,-7.584792925637768,0.02871387502788388,0.9712861249721161,-0.004462524730448119,-0.006641355672689815,-0.03725687990348158,0.46274716560195567,0.3535745588474305,0.1175857483350753,0.5571696280027624,0.2852022262203427,0.0993247769156991,0.553919245620299,0.2877029426407214,0.09982837910176373,0.4849678591901867,0.33837152199753434,0.11253656546985334,0.20404762993627212,0.19702352990048877,0.04801908091500828,34.067153201279716,0.07382374717912626,36.72918612674765,0.06773350757391776,36.60811491465869,0.06798659359640616,0.5845783307347984
ES,RTH,1879,32.998001455867055,0.08525888719151521,0.15127833063199528,0.02288024456262871,0.15124601433028736,-0.2668446140087512,0.022115522630469536,-12.065942029382906,0.07120604802547942,0.9287939519745205,-0.0970022963591227,-0.11131807197195136,-0.13653329629920793,0.4663451906310953,0.3700200364825379,0.09194066295554273,0.8192013226053553,0.07758465605971039,0.05738653839213903,0.7771120793578742,0.11594324254525341,0.05853357198065478,0.498691785353526,0.3472256162098185,0.08536512694943595,0.7566415159053042,0.6663881068575501,0.06936191339007203,34.202224451570025,0.08179238129375606,46.71352345564053,0.058010122159083057,45.022339415532876,0.060350170326078076,0.6136841685171788
NQ,RTH,1879,33.57464962277056,0.073904847880306,0.051452370299718074,0.02151380711466598,0.41813053488779434,-0.13053153819316557,0.022751276865682034,-5.7373280174027945,0.01703848246307384,0.9829615175369262,0.021222108363962978,0.006809442702897462,-0.03121965997002414,0.422884531101322,0.3914538279470562,0.11742268255143298,0.5045176322179864,0.33580497710865065,0.09849874406439577,0.5028605775558074,0.33701706923666686,0.09881266365735526,0.45353552801651964,0.37161648670378744,0.10941947077535705,0.1930387496181678,0.18912029306487765,0.07248077113478923,34.792367807535356,0.07088850689060111,36.84257403684628,0.06638278927971386,36.77544621294166,0.06652035334902837,0.5899731643608336
