venue,M,M_used,stub,n_windows,var_log_rv_CAL,var_log_rv_TICK,n_tick,var_log_trv3_CAL,trv3_share_removed,mean_eff_M,share_full_M,mean_rv,trigamma,implied_bias,bias_below_1pct,var_log_rv_CAL_noisecorr
XNAS,5,5,False,1415,2.1934357896397785,1.7306198541891866,1415,2.686327937436322,0.11111767909308778,5.0,1.0,8.830544090926048e-05,0.4903577561002349,-1.509552593813165e-05,True,2.1934357894119003
XNAS,6,6,False,1415,2.0855225701843603,1.6076592664013738,1415,2.485959767992184,0.11091809793712182,6.0,1.0,8.423528375560989e-05,0.39493406684822646,-1.811463112575798e-05,True,2.0855225698562143
XNAS,10,10,False,1415,1.836990246973054,1.4305545413046994,1415,2.076076541317837,0.11931854533061081,10.0,1.0,8.272144592063682e-05,0.22132295573711533,-3.01910518762633e-05,True,1.8369902460615268
XNAS,13,13,False,1415,1.752265982111667,1.3808520273291736,1415,1.9571584483316324,0.12572364902811028,13.0,1.0,8.179353964079759e-05,0.16628453574995827,-3.924836743914229e-05,True,1.7522659805711722
XNAS,26,26,False,1415,1.6527735404882717,1.2382763754396668,1415,1.8296868731170302,0.15944509411192354,26.0,1.0,8.110337523840078e-05,0.07995742842732394,-7.849673487828458e-05,True,1.6527735343260506
XNAS,39,39,False,1415,1.6457864930139325,1.231053645880103,1415,1.828663622765657,0.1864553518771911,38.998586572438164,0.9985865724381625,8.215165107010716e-05,0.05261944121365593,-0.00011774510231742688,True,1.645786479148391
XNAS,78,78,False,1415,1.613275033276085,1.185247683178187,1415,1.820115414953179,0.2129859893251369,77.99363957597173,0.9964664310954063,8.237300983158546e-05,0.025972566037214765,-0.00023549020463485375,True,1.6132749778073865
XNAS,130,130,False,1415,1.5631925240021376,1.161969090148427,1415,1.7754946368559845,0.24021249950411838,129.9816254416961,0.9915194346289753,8.040157140465762e-05,0.01550356543933893,-0.0003924836743914229,True,1.5631923698982217
XNAS,195,195,False,1415,1.5575410868311543,1.1486314567021756,1415,1.7711115527174799,0.2519318590152688,194.92367491166078,0.9674911660777386,8.04867308792311e-05,0.01030918704702152,-0.0005887255115871343,True,1.5575407400292651
XNAS,390,390,False,1415,1.529787904836053,1.1288694720269112,1415,1.7506413508709113,0.26918264041711093,388.8303886925795,0.7879858657243817,7.973452251038514e-05,0.005141376849345412,-0.0011774510231742686,True,1.5297865168109699
XNAS,780,780,False,1415,1.5046353531908254,1.109680561907344,1415,1.7721788419899143,0.2991406536741371,767.0798586572438,0.43462897526501765,7.914243281643892e-05,0.002567392684745992,-0.0023549020463485373,True,1.5046297945396674
XNAS,1560,1560,False,1415,1.4882483467946737,1.10047779640082,1415,1.8228671391507627,0.3321732600944528,1470.9639575971732,0.09469964664310954,7.857266478732581e-05,0.001282873461004509,-0.004709804092697075,True,1.488226059613021
XNAS,2340,2340,False,1415,1.4784187100361572,1.0956901229387008,1415,1.8654125799445813,0.35227761922133893,2105.8325088339225,0.0303886925795053,7.758799455307398e-05,0.0008550662155381121,-0.007064706139045612,True,1.4783684450651369
XNAS,4680,4680,False,1415,1.4651678849397056,1.0932100988837175,1415,2.0223865499979663,0.40809823251462185,3684.763250883392,0.0028268551236749115,7.707476930725906e-05,0.00042744175455202506,-0.014129412278091225,True,1.4649653868380823
XNAS,11700,11700,False,1415,1.4726511636730817,0.8570564280004607,1135,2.585801321294826,0.5191852932536849,6762.004946996466,0.0,7.756160538818787e-05,0.00017095478204368555,-0.03532353069522806,True,1.4713578623512598
XNAS,23400,23399,True,1415,1.4774783888696854,,0,329.25075285862016,0.5800292622111504,11061.877738515901,0.0,7.72668551275428e-05,8.547739117797544e-05,-0.07064404228526851,True,1.4721108555699416
