quantity,recomputed,stored,abs_dev,rel_dev
c,1.0339096236930143,1.03391,3.7630698579427246e-07,3.6396493485339384e-07
A,2.0584522509024437,2.058452,2.50902443710288e-07,1.2188889695280143e-07
b,-0.44267230886995196,-0.442672,3.0886995194823186e-07,6.977399789194524e-07
rmse,0.04989400116717227,0.049894,1.167172268556893e-09,2.3393038612997415e-08
