ny_min,sum,count,rate
269,0,3894,0.0
270,2,3898,0.000513083632632119
271,1,3897,0.00025660764690787786
272,0,3894,0.0
273,0,3893,0.0
274,0,3894,0.0
275,0,3898,0.0
276,0,3893,0.0
277,0,3894,0.0
278,0,3893,0.0
279,2,3896,0.000513347022587269
280,1,3896,0.0002566735112936345
281,0,3895,0.0
282,0,3894,0.0
283,0,3895,0.0
284,0,3887,0.0
285,0,3897,0.0
286,0,3898,0.0
287,0,3896,0.0
288,0,3894,0.0
289,0,3897,0.0
290,0,3896,0.0
291,0,3892,0.0
292,0,3894,0.0
293,0,3896,0.0
294,0,3893,0.0
295,2,3891,0.0005140066820868671
296,0,3893,0.0
297,0,3889,0.0
298,0,3890,0.0
299,0,3893,0.0
300,0,3898,0.0
301,1,3894,0.00025680534155110427
302,2,3898,0.000513083632632119
303,2,3894,0.0005136106831022085
304,1,3895,0.00025673940949935817
305,0,3893,0.0
306,0,3890,0.0
307,1,3891,0.00025700334104343357
308,0,3893,0.0
309,0,3891,0.0
310,0,3888,0.0
311,2,3888,0.00051440329218107
312,0,3893,0.0
313,0,3892,0.0
314,0,3893,0.0
315,0,3889,0.0
316,0,3892,0.0
317,0,3893,0.0
318,0,3892,0.0
319,0,3892,0.0
320,0,3894,0.0
321,0,3894,0.0
322,0,3895,0.0
323,0,3894,0.0
324,0,3889,0.0
325,0,3897,0.0
326,0,3893,0.0
327,0,3889,0.0
328,0,3883,0.0
329,0,3892,0.0
330,0,3897,0.0
331,0,3894,0.0
332,0,3892,0.0
333,0,3892,0.0
334,0,3889,0.0
335,0,3892,0.0
336,2,3889,0.0005142710208279763
337,0,3892,0.0
338,0,3891,0.0
339,0,3892,0.0
340,0,3891,0.0
341,0,3891,0.0
342,0,3891,0.0
343,0,3890,0.0
344,0,3893,0.0
345,0,3894,0.0
346,0,3892,0.0
347,2,3892,0.0005138746145940391
348,0,3893,0.0
349,0,3892,0.0
350,0,3892,0.0
351,0,3893,0.0
352,2,3897,0.0005132152938157557
353,2,3891,0.0005140066820868671
354,0,3893,0.0
355,0,3890,0.0
356,0,3890,0.0
357,0,3893,0.0
358,0,3891,0.0
359,0,3892,0.0
360,0,3897,0.0
361,0,3899,0.0
362,2,3897,0.0005132152938157557
363,0,3894,0.0
364,0,3888,0.0
365,0,3899,0.0
366,0,3894,0.0
367,0,3891,0.0
368,0,3893,0.0
369,0,3889,0.0
370,0,3897,0.0
371,0,3890,0.0
372,0,3893,0.0
373,0,3891,0.0
374,0,3891,0.0
375,0,3889,0.0
376,1,3891,0.00025700334104343357
377,0,3891,0.0
378,0,3893,0.0
379,0,3893,0.0
380,0,3896,0.0
381,0,3893,0.0
382,0,3893,0.0
383,0,3891,0.0
384,0,3889,0.0
385,0,3895,0.0
386,0,3893,0.0
387,0,3892,0.0
388,0,3892,0.0
389,0,3896,0.0
390,0,3890,0.0
391,0,3890,0.0
392,2,3891,0.0005140066820868671
393,0,3889,0.0
394,0,3886,0.0
395,0,3892,0.0
396,0,3891,0.0
397,0,3891,0.0
398,0,3890,0.0
399,0,3891,0.0
400,1,3889,0.00025713551041398817
401,0,3893,0.0
402,0,3890,0.0
403,0,3887,0.0
404,1,3889,0.00025713551041398817
405,2,3891,0.0005140066820868671
406,0,3893,0.0
407,0,3892,0.0
408,0,3892,0.0
409,0,3893,0.0
410,0,3893,0.0
411,0,3891,0.0
412,0,3891,0.0
413,0,3891,0.0
414,2,3888,0.00051440329218107
415,1,3892,0.00025693730729701953
416,1,3891,0.00025700334104343357
417,1,3894,0.00025680534155110427
418,0,3895,0.0
419,0,3895,0.0
420,2,3899,0.0005129520389843549
421,0,3897,0.0
422,0,3898,0.0
423,0,3899,0.0
424,0,3895,0.0
425,0,3894,0.0
426,0,3892,0.0
427,0,3890,0.0
428,1,3892,0.00025693730729701953
429,1,3893,0.00025687130747495504
430,1,3896,0.0002566735112936345
431,1,3896,0.0002566735112936345
432,0,3896,0.0
433,0,3891,0.0
434,0,3893,0.0
435,0,3898,0.0
436,0,3898,0.0
437,0,3897,0.0
438,0,3897,0.0
439,0,3894,0.0
440,0,3895,0.0
441,0,3895,0.0
442,0,3896,0.0
443,0,3894,0.0
444,1,3896,0.0002566735112936345
445,0,3894,0.0
446,2,3893,0.0005137426149499101
447,0,3896,0.0
448,0,3893,0.0
449,2,3894,0.0005136106831022085
450,1,3897,0.00025660764690787786
451,0,3897,0.0
452,0,3898,0.0
453,0,3893,0.0
454,0,3897,0.0
455,0,3896,0.0
456,1,3893,0.00025687130747495504
457,1,3896,0.0002566735112936345
458,0,3894,0.0
