cell,root,geom,btag,horizon,quantile,level,differs,s_b,s_c,status
ES/RTH/B0/1day,ES,RTH,B0,1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok
ES/RTH/B0/1h,ES,RTH,B0,1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/1h,ES,RTH,B0,1h,0.8,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/1h,ES,RTH,B0,1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/1h,ES,RTH,B0,1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/30min,ES,RTH,B0,30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/30min,ES,RTH,B0,30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/30min,ES,RTH,B0,30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B0/30min,ES,RTH,B0,30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1day,ES,RTH,B1,1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1day,ES,RTH,B1,1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1day,ES,RTH,B1,1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1day,ES,RTH,B1,1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok
ES/RTH/B1/1h,ES,RTH,B1,1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1h,ES,RTH,B1,1h,0.8,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1h,ES,RTH,B1,1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/1h,ES,RTH,B1,1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/30min,ES,RTH,B1,30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/30min,ES,RTH,B1,30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/30min,ES,RTH,B1,30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok
ES/RTH/B1/30min,ES,RTH,B1,30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1day,NQ,RTH,B0,1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1day,NQ,RTH,B0,1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1day,NQ,RTH,B0,1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1day,NQ,RTH,B0,1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M2_HAR,ok
NQ/RTH/B0/1h,NQ,RTH,B0,1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1h,NQ,RTH,B0,1h,0.8,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok
NQ/RTH/B0/1h,NQ,RTH,B0,1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/1h,NQ,RTH,B0,1h,0.9,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok
NQ/RTH/B0/30min,NQ,RTH,B0,30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/30min,NQ,RTH,B0,30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/30min,NQ,RTH,B0,30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B0/30min,NQ,RTH,B0,30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1day,NQ,RTH,B1,1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1day,NQ,RTH,B1,1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1day,NQ,RTH,B1,1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1day,NQ,RTH,B1,1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M2_HAR,ok
NQ/RTH/B1/1h,NQ,RTH,B1,1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1h,NQ,RTH,B1,1h,0.8,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok
NQ/RTH/B1/1h,NQ,RTH,B1,1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/1h,NQ,RTH,B1,1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/30min,NQ,RTH,B1,30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/30min,NQ,RTH,B1,30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/30min,NQ,RTH,B1,30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok
NQ/RTH/B1/30min,NQ,RTH,B1,30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok
