root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,GLOBEX,B1,1day,S-B_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,1194876513,"{""M3_HARJ"": 0.0013, ""M1_EWMA"": 0.0013, ""M4_HARQ"": 0.0013, ""M6_PARK"": 0.0013, ""M6_GK"": 0.0013, ""M2_HAR"": 0.0013, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-C_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3628868369,"{""M3_HARJ"": 0.0128, ""M1_EWMA"": 0.0128, ""M4_HARQ"": 0.2361, ""M6_PARK"": 0.2361, ""M6_GK"": 0.2361, ""M2_HAR"": 0.8711, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1h,S-A,1384,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,3917774959,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0012, ""M3_HARJ"": 0.4064, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,1h,S-B_q0.80,277,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ|M4_HARQ,381417248,"{""M1_EWMA"": 0.0001, ""M4_HARQ"": 0.2264, ""M3_HARJ"": 0.3529, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,1h,S-C_q0.80,277,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3380644682,"{""M1_EWMA"": 0.0013, ""M2_HAR"": 0.1399, ""M3_HARJ"": 0.2337, ""M4_HARQ"": 1.0}"
ES,GLOBEX,B1,1h,S-B_q0.90,139,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,4294457701,"{""M1_EWMA"": 0.0015, ""M4_HARQ"": 0.3908, ""M3_HARJ"": 0.7303, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,1h,S-C_q0.90,139,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3765632942,"{""M1_EWMA"": 0.0256, ""M2_HAR"": 0.6751, ""M4_HARQ"": 0.6751, ""M3_HARJ"": 1.0}"
ES,GLOBEX,B1,30min,S-A,79367,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
ES,GLOBEX,B1,30min,S-B_q0.80,15874,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,827925247,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0004, ""M3_HARJ"": 0.0028, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,30min,S-C_q0.80,15874,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
ES,GLOBEX,B1,30min,S-B_q0.90,7937,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,2717987684,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0009, ""M3_HARJ"": 0.0014, ""M2_HAR"": 1.0}"
ES,GLOBEX,B1,30min,S-C_q0.90,7937,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
