venue,n_sessions,n_early_excluded,n_rows,seconds,corr_fill_vol_pooled,median_fill,mean_fill
ARCX,1415,12,20514528,119.1,0.732936967753214,0.6276923076923077,0.6195683609676542
XNAS,1415,12,21487163,92.0,0.7380084869669906,0.6593162393162393,0.648943342091752
