venue,stratum,key,c,A,b,rmse,n
ARCX,vol_tercile,1,-141.06246285259388,141.76681665997725,-5.800896903175456e-05,0.025702571518841536,16
ARCX,vol_tercile,2,0.5610373756669523,-1.7492784392072507,-0.9770032312581823,0.03072529735587158,16
ARCX,vol_tercile,3,0.8721057448964934,-0.834876976398134,-0.6683689139948745,0.014621072470318708,16
ARCX,year,2018,1.624153276589262,1.3601354372053371,-0.4572759240536829,0.051942291564814815,16
ARCX,year,2019,1.0157878429009957,2.3795069199222723,-0.7601429783109095,0.038721239793964204,16
ARCX,year,2020,2.0485811750245784,37977.826674723656,-7.189782959202055,0.039366810286285255,16
ARCX,year,2021,0.9860356231004358,1.3367185604361231,-0.569109824999869,0.0245676066935534,16
ARCX,year,2022,0.4917997489668687,3.532919598590033,-1.1584736730422156,0.014270150141443456,16
ARCX,year,2023,0.5489947777932419,1.9530587950035327,-0.8474290486677741,0.012814859046726794,16
XNAS,vol_tercile,1,-65.73937132903423,66.46392560449456,-0.00020416736027489157,0.029260079654545256,16
XNAS,vol_tercile,2,0.5593482567353084,-1.4937083034255094,-0.8700904914599956,0.03105895892705748,16
XNAS,vol_tercile,3,0.8681268132310483,-1.0366752139275663,-0.7992345313717266,0.017404069647505887,16
XNAS,year,2018,1.6380503485416735,1.444353856296536,-0.4044874713287922,0.03871654399735552,16
XNAS,year,2019,1.0163561402367796,4.366921987914772,-1.007147776901718,0.044705567924029355,16
XNAS,year,2020,1.9875575555820055,1.5632847739162656,-0.7294834470137611,0.037743028967935896,16
XNAS,year,2021,0.997649764587315,1.5713636696780713,-0.6766229335258649,0.03519470603494064,16
XNAS,year,2022,0.5097346540766773,5.134215215060929,-1.295103109996666,0.029576948704450944,16
XNAS,year,2023,0.5132762949401841,2.4881393754057597,-0.8561196671589546,0.01779929110463539,16
