root,geom,group,M,mean_rv,n_days
ES,RTH,terc3,13,0.00016708456596260498,634
ES,RTH,terc3,26,0.0001653725140071205,634
ES,RTH,terc3,78,0.00017091267920301453,634
ES,RTH,terc3,195,0.00017189803238553878,634
ES,RTH,terc3,390,0.00017028916186960315,634
NQ,GLOBEX,all,23,0.00018173552720573017,1901
NQ,GLOBEX,all,46,0.00018452426439894684,1901
NQ,GLOBEX,all,138,0.00018394339993633448,1901
NQ,GLOBEX,all,345,0.00018764709680159226,1901
NQ,GLOBEX,all,1380,0.00018902305970688445,1901
NQ,GLOBEX,y2016,23,0.00011726011966953116,239
NQ,GLOBEX,y2016,46,0.00011875506411317561,239
NQ,GLOBEX,y2016,138,0.00011467322196351123,239
NQ,GLOBEX,y2016,345,0.00011646484301362028,239
NQ,GLOBEX,y2016,1380,0.0001191717133998734,239
NQ,GLOBEX,y2017,23,3.678960503552407e-05,237
NQ,GLOBEX,y2017,46,3.709391404970134e-05,237
NQ,GLOBEX,y2017,138,3.668300515174115e-05,237
NQ,GLOBEX,y2017,345,3.671817298572757e-05,237
NQ,GLOBEX,y2017,1380,3.874542823981571e-05,237
NQ,GLOBEX,y2018,23,0.00018733187221604545,236
NQ,GLOBEX,y2018,46,0.00019040157076139603,236
NQ,GLOBEX,y2018,138,0.0001864250196207943,236
NQ,GLOBEX,y2018,345,0.00019119909109774181,236
NQ,GLOBEX,y2018,1380,0.00019670227714791206,236
NQ,GLOBEX,y2019,23,0.00010432998113328727,237
NQ,GLOBEX,y2019,46,9.902011741699015e-05,237
NQ,GLOBEX,y2019,138,9.862148152659811e-05,237
NQ,GLOBEX,y2019,345,9.82398705456036e-05,237
NQ,GLOBEX,y2019,1380,0.00010113771051203932,237
NQ,GLOBEX,y2020,23,0.0003690588500706572,239
NQ,GLOBEX,y2020,46,0.00038950621129446046,239
NQ,GLOBEX,y2020,138,0.00040104912248761955,239
NQ,GLOBEX,y2020,345,0.00041395327459487326,239
NQ,GLOBEX,y2020,1380,0.00041754544276526517,239
NQ,GLOBEX,y2021,23,0.0001284006596369743,239
NQ,GLOBEX,y2021,46,0.00012972733959049778,239
NQ,GLOBEX,y2021,138,0.00013319269440111687,239
NQ,GLOBEX,y2021,345,0.00013267036730278223,239
NQ,GLOBEX,y2021,1380,0.00013135195672009183,239
NQ,GLOBEX,y2022,23,0.00038388731218591646,238
NQ,GLOBEX,y2022,46,0.0003840830526585679,238
NQ,GLOBEX,y2022,138,0.0003727805427438917,238
NQ,GLOBEX,y2022,345,0.0003816772638895659,238
NQ,GLOBEX,y2022,1380,0.0003775171702010346,238
NQ,GLOBEX,y2023,23,0.0001251711937784238,236
NQ,GLOBEX,y2023,46,0.0001258295972364806,236
NQ,GLOBEX,y2023,138,0.0001262731857922228,236
NQ,GLOBEX,y2023,345,0.0001283548834928928,236
NQ,GLOBEX,y2023,1380,0.0001281406386621786,236
NQ,GLOBEX,terc1,23,3.0839914624078427e-05,634
NQ,GLOBEX,terc1,46,3.583327495123808e-05,634
NQ,GLOBEX,terc1,138,4.016791984496033e-05,634
NQ,GLOBEX,terc1,345,4.229293512086966e-05,634
NQ,GLOBEX,terc1,1380,4.4640693860054875e-05,634
NQ,GLOBEX,terc2,23,9.452295621701533e-05,633
NQ,GLOBEX,terc2,46,9.928741515819104e-05,633
NQ,GLOBEX,terc2,138,0.00010259507603553437,633
NQ,GLOBEX,terc2,345,0.00010544888260234348,633
NQ,GLOBEX,terc2,1380,0.00010723567504573638,633
NQ,GLOBEX,terc3,23,0.00041970615151586214,634
NQ,GLOBEX,terc3,46,0.0004183176601075364,634
NQ,GLOBEX,terc3,138,0.00040893889426935916,634
NQ,GLOBEX,terc3,345,0.0004150698225014386,634
NQ,GLOBEX,terc3,1380,0.000415063808030854,634
NQ,RTH,all,13,0.0001128848006549366,1901
NQ,RTH,all,26,0.00011323865990358259,1901
NQ,RTH,all,78,0.0001161775821657968,1901
NQ,RTH,all,195,0.00011652164162830203,1901
NQ,RTH,all,390,0.00011463727421400432,1901
NQ,RTH,y2016,13,7.128358186199548e-05,239
NQ,RTH,y2016,26,6.802515347504276e-05,239
NQ,RTH,y2016,78,6.761899541742033e-05,239
NQ,RTH,y2016,195,6.628955226947973e-05,239
NQ,RTH,y2016,390,6.746243229483972e-05,239
NQ,RTH,y2017,13,2.5273341219509543e-05,237
NQ,RTH,y2017,26,2.4919480828299665e-05,237
NQ,RTH,y2017,78,2.5505623313338614e-05,237
NQ,RTH,y2017,195,2.564233681223182e-05,237
NQ,RTH,y2017,390,2.6355040479697974e-05,237
NQ,RTH,y2018,13,0.0001263175738755559,236
NQ,RTH,y2018,26,0.0001258056558323724,236
NQ,RTH,y2018,78,0.00013096932081930026,236
NQ,RTH,y2018,195,0.0001295662144259684,236
NQ,RTH,y2018,390,0.00013126206583462065,236
NQ,RTH,y2019,13,5.734612909340848e-05,237
NQ,RTH,y2019,26,5.5466797596028774e-05,237
NQ,RTH,y2019,78,5.7195817678022294e-05,237
NQ,RTH,y2019,195,5.697944256836676e-05,237
NQ,RTH,y2019,390,5.686790806267259e-05,237
NQ,RTH,y2020,13,0.00020984971697766242,239
NQ,RTH,y2020,26,0.00022098843097503038,239
NQ,RTH,y2020,78,0.0002296487711822119,239
NQ,RTH,y2020,195,0.00023868488382076044,239
NQ,RTH,y2020,390,0.0002276947277174249,239
NQ,RTH,y2021,13,8.241722567165363e-05,239
NQ,RTH,y2021,26,8.54537392981412e-05,239
NQ,RTH,y2021,78,8.753630212227869e-05,239
NQ,RTH,y2021,195,8.536581014865184e-05,239
NQ,RTH,y2021,390,8.390140075342985e-05,239
NQ,RTH,y2022,13,0.00024311327864370258,238
NQ,RTH,y2022,26,0.0002373960678569066,238
NQ,RTH,y2022,78,0.0002416523906582456,238
NQ,RTH,y2022,195,0.00024328688596748105,238
NQ,RTH,y2022,390,0.00023760162102488044,238
NQ,RTH,y2023,13,8.666401894422479e-05,236
NQ,RTH,y2023,26,8.697904740651598e-05,236
NQ,RTH,y2023,78,8.840314011725901e-05,236
NQ,RTH,y2023,195,8.540277417930537e-05,236
NQ,RTH,y2023,390,8.50830089507939e-05,236
NQ,RTH,terc1,13,1.8457098535351627e-05,634
NQ,RTH,terc1,26,2.282850317070095e-05,634
NQ,RTH,terc1,78,2.601219758401114e-05,634
NQ,RTH,terc1,195,2.6784391434017523e-05,634
NQ,RTH,terc1,390,2.7162914176876233e-05,634
NQ,RTH,terc2,13,5.947204158700081e-05,633
NQ,RTH,terc2,26,6.457031090381394e-05,633
NQ,RTH,terc2,78,6.758150548088437e-05,633
NQ,RTH,terc2,195,6.76225447617044e-05,633
NQ,RTH,terc2,390,6.713703082669224e-05,633
NQ,RTH,terc3,13,0.000260641014588407,634
NQ,RTH,terc3,26,0.00025224040167881996,634
NQ,RTH,terc3,78,0.00025486239346926944,634
NQ,RTH,terc3,195,0.0002550808607761453,634
NQ,RTH,terc3,390,0.0002495369561189061,634
